Philadelphia,Denver,time_rem
32-15,29-18,48M 0S
0,3,47M 40S
2,3,47M 23S
2,5,47M 2S
2,7,46M 29S
4,7,45M 56S
4,9,45M 39S
6,9,44M 58S
6,12,44M 39S
6,13,44M 39S
7,13,44M 24S
8,13,44M 24S
8,15,43M 57S
8,17,43M 19S
8,19,42M 54S
10,19,42M 48S
10,22,42M 30S
12,22,42M 13S
12,24,41M 58S
12,26,41M 39S
12,28,41M 7S
14,28,40M 53S
14,30,40M 36S
16,30,40M 4S
16,32,39M 43S
19,32,39M 13S
19,35,38M 52S
19,38,38M 12S
19,41,37M 23S
22,41,37M 15S
22,44,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,44,35M 48S
25,44,35M 48S
25,46,35M 31S
25,47,35M 31S
28,47,35M 7S
28,48,33M 4S
28,49,33M 4S
28,50,33M 4S
29,50,32M 45S
30,50,32M 45S
30,52,32M 0S
33,52,31M 46S
34,52,29M 59S
35,52,29M 59S
35,54,29M 44S
36,54,29M 26S
36,57,28M 54S
36,60,28M 15S
39,60,27M 48S
41,60,27M 17S
41,62,27M 1S
41,64,26M 33S
43,64,25M 44S
43,65,25M 24S
43,66,25M 24S
45,66,24M 30S
45,67,24M 11S
45,68,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,70,23M 16S
47,70,23M 1S
47,72,22M 44S
49,72,22M 22S
52,72,21M 43S
52,75,20M 54S
52,76,20M 3S
52,77,20M 3S
54,77,19M 47S
54,79,18M 50S
56,79,18M 8S
59,79,17M 8S
59,82,16M 50S
59,84,15M 9S
61,84,14M 51S
61,86,14M 5S
63,86,13M 48S
63,88,13M 33S
66,88,12M 53S
68,88,12M 25S
71,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,90,9M 54S
73,90,9M 35S
74,90,9M 1S
75,90,9M 1S
77,90,8M 31S
77,92,8M 7S
77,94,7M 7S
79,94,6M 51S
79,97,6M 26S
82,97,4M 28S
84,97,3M 49S
84,99,3M 26S
85,99,3M 11S
86,99,3M 11S
Jump ball: M. Scott vs. F. Campazzo (P. Reed gains possession),NA,2M 57S
89,99,2M 9S
89,100,1M 4S
89,101,1M 4S
91,101,59S
92,101,47S
93,101,47S
95,101,21S
95,103,19S
95,104,7S
End of 4th quarter,NA,0S
