Dallas,New York,time_rem
26-21,24-25,48M 0S
0,0,47M 44S
2,0,46M 38S
2,3,46M 22S
5,3,45M 48S
5,5,45M 38S
8,5,45M 26S
8,7,45M 5S
10,7,44M 57S
10,10,44M 20S
12,10,44M 0S
12,11,42M 52S
12,12,42M 52S
14,12,42M 6S
16,12,41M 33S
18,12,41M 0S
18,14,40M 13S
20,14,39M 59S
20,17,39M 41S
20,19,38M 39S
20,22,37M 23S
20,25,36M 58S
22,25,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,25,35M 9S
24,27,34M 40S
26,27,34M 29S
26,29,34M 13S
28,29,34M 2S
28,31,33M 18S
28,32,33M 18S
28,35,33M 2S
31,35,32M 42S
31,37,32M 23S
31,39,31M 51S
31,42,31M 34S
31,44,31M 2S
34,44,29M 23S
36,44,28M 53S
38,44,28M 23S
41,44,27M 24S
43,44,25M 47S
43,46,24M 59S
46,46,24M 44S
49,46,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,47,24M 0S
49,50,23M 21S
49,52,22M 37S
49,54,22M 9S
52,54,21M 27S
55,54,20M 59S
56,54,20M 26S
56,57,19M 42S
56,59,18M 37S
58,59,18M 14S
60,59,17M 35S
62,59,17M 6S
65,59,16M 32S
66,59,16M 4S
66,62,15M 43S
68,62,15M 24S
70,62,14M 58S
70,64,13M 43S
72,64,13M 17S
72,66,13M 4S
72,67,13M 4S
72,69,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,71,11M 27S
74,71,11M 7S
76,71,9M 36S
76,72,9M 10S
76,73,9M 10S
78,73,8M 54S
78,74,6M 57S
78,75,6M 57S
80,75,6M 44S
82,75,5M 56S
85,75,5M 7S
88,75,4M 21S
90,75,3M 12S
90,76,3M 11S
90,78,2M 57S
92,78,2M 2S
92,81,1M 51S
94,81,1M 35S
94,83,1M 28S
95,83,56S
97,83,36S
97,86,26S
98,86,16S
99,86,16S
End of 4th quarter,NA,0S
