Charlotte,Philadelphia,time_rem
2-4,5-1,48M 0S
0,2,47M 42S
0,5,47M 16S
3,5,46M 31S
3,8,46M 11S
4,8,45M 57S
5,8,45M 57S
7,8,45M 43S
8,8,45M 43S
8,10,45M 22S
8,13,44M 40S
8,16,44M 5S
8,18,43M 41S
9,18,42M 38S
10,18,42M 38S
10,21,42M 16S
13,21,42M 5S
13,24,41M 47S
15,24,41M 1S
15,26,40M 39S
15,28,40M 17S
17,28,40M 3S
17,30,39M 46S
19,30,39M 31S
19,32,38M 35S
19,34,38M 4S
19,35,37M 26S
19,36,37M 26S
21,36,36M 42S
22,36,36M 29S
22,39,36M 8S
23,39,36M 0S
24,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,39,35M 38S
26,42,35M 17S
29,42,34M 58S
29,44,34M 36S
31,44,34M 24S
32,44,33M 58S
33,44,33M 58S
33,47,32M 48S
33,48,32M 21S
33,49,32M 21S
35,49,32M 8S
35,50,31M 51S
37,50,31M 5S
37,52,30M 59S
39,52,30M 34S
39,54,30M 18S
42,54,30M 8S
42,56,29M 46S
44,56,29M 27S
44,59,29M 0S
47,59,28M 42S
49,59,28M 18S
49,60,27M 59S
49,62,27M 43S
49,65,27M 14S
51,65,26M 59S
51,67,26M 40S
52,67,26M 18S
53,67,26M 18S
54,67,26M 4S
54,69,25M 39S
56,69,25M 26S
56,72,25M 2S
56,73,24M 41S
57,73,24M 29S
58,73,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,74,23M 36S
61,74,23M 0S
61,76,22M 40S
63,76,22M 20S
66,76,22M 7S
66,77,21M 40S
66,79,21M 24S
66,80,21M 24S
66,83,20M 47S
69,83,20M 32S
71,83,19M 57S
71,85,19M 47S
73,85,19M 34S
73,86,19M 23S
73,87,19M 23S
73,89,18M 52S
75,89,18M 35S
75,92,18M 27S
77,92,18M 12S
77,93,18M 6S
77,94,18M 6S
80,94,17M 31S
83,94,16M 41S
83,96,15M 53S
83,99,14M 37S
84,99,14M 22S
85,99,14M 22S
88,99,13M 44S
88,101,13M 6S
88,102,12M 41S
90,102,12M 34S
90,104,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,104,10M 49S
92,106,10M 30S
93,106,10M 19S
94,106,10M 19S
94,108,10M 11S
96,108,9M 59S
96,110,9M 36S
98,110,9M 19S
100,110,8M 52S
100,113,8M 11S
102,113,7M 46S
103,113,6M 41S
103,115,5M 28S
103,117,5M 9S
106,117,5M 1S
106,118,4M 40S
106,119,4M 40S
109,119,4M 27S
109,121,4M 7S
110,121,3M 19S
110,123,2M 57S
110,125,2M 5S
110,127,1M 36S
111,127,58S
112,127,58S
End of 4th quarter,NA,0S
