LA Lakers,Phoenix,time_rem
1-1,1-1,48M 0S
0,0,47M 40S
1,0,47M 2S
1,1,47M 1S
1,2,47M 1S
1,5,46M 48S
3,5,46M 25S
3,6,46M 17S
5,6,45M 48S
6,6,45M 18S
8,6,44M 11S
8,8,44M 2S
8,10,43M 40S
10,10,43M 14S
12,10,42M 50S
12,11,42M 35S
12,12,42M 35S
14,12,42M 22S
16,12,41M 39S
18,12,40M 21S
18,14,40M 0S
21,14,39M 7S
23,14,38M 28S
24,14,38M 28S
24,16,38M 18S
26,16,37M 55S
26,17,37M 39S
26,18,37M 39S
29,18,37M 4S
29,19,37M 3S
29,20,37M 3S
29,21,36M 37S
29,22,36M 37S
30,22,36M 19S
30,24,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,35M 2S
31,26,33M 4S
32,26,33M 4S
32,28,32M 48S
32,30,32M 19S
35,30,32M 1S
35,32,31M 41S
35,34,31M 9S
37,34,30M 34S
37,36,30M 21S
39,36,30M 4S
41,36,29M 34S
41,38,29M 17S
44,38,28M 29S
46,38,27M 38S
48,38,27M 7S
49,38,27M 7S
49,39,26M 43S
49,40,26M 43S
51,40,26M 23S
51,42,26M 12S
51,45,25M 35S
52,45,25M 12S
53,45,25M 12S
53,47,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,47,23M 42S
58,47,23M 6S
59,47,23M 6S
61,47,22M 31S
61,48,22M 20S
63,48,21M 35S
63,50,21M 24S
63,52,20M 58S
64,52,20M 42S
65,52,20M 42S
65,54,20M 18S
65,56,19M 47S
65,57,19M 47S
67,57,18M 21S
67,59,18M 3S
68,59,16M 27S
69,59,16M 27S
69,62,16M 8S
70,62,15M 30S
71,62,15M 30S
71,64,15M 18S
74,64,15M 0S
74,66,14M 14S
77,66,12M 52S
77,69,12M 30S
79,69,12M 7S
79,72,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,75,11M 39S
81,75,10M 30S
81,76,9M 39S
81,77,9M 39S
Jump ball: A. Drummond vs. J. Crowder (A. Davis gains possession),NA,9M 12S
82,77,9M 12S
82,79,8M 52S
84,79,8M 28S
84,82,8M 9S
84,83,8M 9S
85,83,7M 24S
86,83,7M 24S
86,86,7M 4S
86,88,6M 14S
89,88,6M 2S
89,90,5M 39S
90,90,4M 56S
91,90,4M 56S
93,90,4M 17S
93,92,4M 4S
95,92,2M 55S
98,92,2M 15S
99,92,2M 0S
100,92,2M 0S
100,93,1M 8S
100,94,1M 8S
103,94,49S
103,95,41S
103,96,41S
105,96,27S
105,97,14S
105,98,14S
105,99,14S
106,99,12S
107,99,12S
107,100,7S
107,101,7S
107,102,7S
108,102,5S
109,102,5S
End of 4th quarter,NA,0S
