Oklahoma City,Philadelphia,time_rem
20-41,40-21,48M 0S
0,0,47M 40S
0,2,47M 32S
2,2,47M 14S
2,3,46M 46S
2,4,46M 46S
4,4,46M 1S
4,7,45M 46S
6,7,45M 36S
6,9,45M 22S
8,9,45M 12S
8,12,45M 2S
9,12,44M 51S
9,14,44M 44S
11,14,44M 28S
11,16,44M 6S
13,16,42M 45S
16,16,42M 23S
16,19,42M 7S
18,19,41M 54S
18,21,41M 36S
18,22,41M 36S
20,22,40M 56S
20,24,40M 32S
22,24,40M 17S
24,24,39M 56S
24,26,39M 34S
24,29,38M 49S
24,31,38M 1S
26,31,37M 2S
26,33,36M 49S
26,34,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,36,34M 3S
29,36,33M 41S
29,39,33M 5S
29,40,32M 23S
29,41,32M 23S
30,41,31M 59S
30,43,31M 41S
31,43,31M 29S
32,43,31M 29S
32,45,31M 18S
34,45,30M 53S
34,48,30M 32S
37,48,30M 20S
39,48,29M 53S
39,50,29M 31S
39,53,29M 3S
39,55,27M 16S
41,55,26M 47S
43,55,26M 17S
43,56,25M 58S
45,56,25M 19S
45,58,24M 55S
45,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,63,23M 47S
45,65,23M 17S
47,65,23M 0S
47,66,22M 43S
47,69,21M 53S
49,69,21M 36S
49,71,21M 9S
51,71,20M 53S
53,71,19M 48S
53,72,19M 33S
53,73,19M 33S
53,76,19M 6S
53,78,18M 40S
53,80,18M 23S
55,80,18M 7S
55,82,17M 52S
58,82,16M 9S
59,82,14M 44S
60,82,14M 44S
60,84,14M 27S
60,87,13M 43S
60,88,13M 18S
60,89,13M 18S
60,90,13M 18S
63,90,12M 55S
64,90,12M 43S
64,93,12M 30S
66,93,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,95,11M 18S
66,97,10M 39S
68,97,9M 43S
68,100,9M 29S
70,100,8M 51S
70,102,8M 8S
71,102,7M 58S
72,102,7M 58S
72,105,7M 42S
72,107,7M 13S
72,109,6M 43S
74,109,5M 40S
74,111,5M 24S
76,111,4M 51S
76,113,3M 45S
77,113,3M 39S
78,113,3M 39S
79,113,3M 18S
79,115,3M 8S
80,115,2M 52S
82,115,2M 19S
Jump ball: M. Brown vs. P. Reed (T. Jerome gains possession),NA,1M 50S
85,115,1M 50S
85,117,1M 42S
85,119,1M 21S
88,119,1M 12S
88,121,42S
90,121,32S
End of 4th quarter,NA,0S
