New Orleans,Oklahoma City,time_rem
3-2,1-3,48M 0S
0,0,47M 48S
0,2,47M 36S
1,2,47M 7S
2,2,47M 7S
4,2,46M 38S
6,2,46M 15S
6,5,45M 58S
8,5,45M 7S
8,8,44M 15S
9,8,43M 54S
11,8,43M 34S
11,11,43M 14S
13,11,42M 58S
13,14,42M 31S
15,14,42M 13S
17,14,41M 38S
17,17,41M 28S
19,17,40M 50S
19,20,40M 38S
22,20,40M 5S
24,20,39M 54S
24,22,39M 23S
24,23,39M 23S
26,23,38M 38S
26,26,38M 4S
26,28,37M 25S
28,28,37M 9S
31,28,36M 44S
32,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,30,35M 35S
32,33,34M 49S
34,33,34M 39S
35,33,34M 39S
35,34,34M 25S
37,34,34M 16S
39,34,33M 37S
41,34,33M 15S
41,36,31M 38S
43,36,31M 26S
43,39,30M 25S
46,39,30M 8S
46,42,29M 36S
49,42,29M 20S
49,45,28M 11S
51,45,27M 44S
51,47,27M 28S
53,47,26M 19S
55,47,25M 24S
58,47,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,49,23M 47S
60,49,22M 57S
60,51,22M 41S
62,51,22M 35S
62,54,22M 0S
62,56,21M 35S
63,56,21M 11S
65,56,20M 37S
65,58,20M 17S
67,58,20M 12S
69,58,18M 56S
69,60,18M 44S
71,60,18M 33S
71,63,17M 54S
71,64,17M 11S
71,65,17M 11S
74,65,16M 54S
77,65,15M 38S
77,67,15M 23S
77,69,14M 29S
79,69,14M 12S
79,72,13M 59S
81,72,13M 14S
81,73,13M 4S
82,73,12M 47S
83,73,12M 47S
84,73,12M 6S
85,73,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,73,10M 38S
90,73,10M 4S
90,75,9M 47S
92,75,9M 24S
94,75,8M 59S
97,75,7M 6S
98,75,6M 1S
99,75,6M 1S
102,75,5M 17S
102,78,5M 6S
104,78,4M 52S
104,80,4M 8S
107,80,3M 36S
110,80,2M 39S
113,80,1M 39S
End of 4th quarter,NA,0S
