Washington,Philadelphia,time_rem
0-1,1-0,48M 0S
0,2,47M 41S
2,2,47M 18S
2,4,47M 8S
3,4,46M 49S
4,4,46M 49S
4,6,46M 33S
4,8,46M 17S
4,10,45M 47S
6,10,44M 57S
6,12,44M 11S
6,14,42M 0S
6,16,41M 36S
8,16,41M 26S
8,17,41M 9S
10,17,40M 47S
11,17,40M 4S
12,17,40M 4S
12,19,39M 36S
14,19,39M 32S
16,19,39M 2S
16,22,38M 47S
18,22,38M 28S
21,22,37M 55S
24,22,37M 35S
26,22,37M 11S
26,24,36M 50S
26,26,36M 29S
26,27,36M 29S
28,27,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 42S
32,27,35M 14S
32,28,34M 12S
32,29,34M 12S
32,31,33M 43S
32,32,33M 43S
32,34,33M 23S
34,34,33M 2S
34,37,32M 40S
36,37,32M 25S
36,39,31M 50S
37,39,31M 7S
37,41,30M 50S
39,41,30M 34S
39,44,30M 17S
41,44,29M 57S
42,44,29M 57S
44,44,29M 26S
44,46,29M 13S
44,47,28M 27S
44,48,28M 27S
46,48,28M 1S
46,50,27M 45S
48,50,27M 37S
51,50,26M 35S
51,51,26M 35S
51,53,26M 20S
53,53,26M 14S
53,55,26M 2S
55,55,25M 29S
55,57,25M 14S
55,58,25M 14S
57,58,25M 5S
57,60,24M 53S
57,61,24M 53S
60,61,24M 43S
62,61,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,61,23M 39S
64,61,23M 39S
64,62,23M 23S
64,63,23M 23S
66,63,22M 49S
66,65,22M 32S
68,65,22M 14S
68,68,21M 51S
70,68,21M 36S
70,70,21M 5S
70,72,20M 35S
72,72,20M 3S
74,72,19M 38S
77,72,19M 11S
77,73,18M 53S
77,74,18M 53S
77,77,18M 27S
79,77,18M 13S
79,80,17M 52S
79,82,17M 23S
81,82,17M 8S
81,85,17M 0S
81,88,16M 34S
83,88,16M 19S
83,90,16M 6S
85,90,15M 47S
87,90,15M 14S
87,91,14M 55S
87,92,14M 55S
89,92,14M 36S
89,94,14M 17S
89,96,13M 48S
89,97,13M 33S
91,97,13M 14S
91,99,12M 57S
92,99,12M 5S
93,99,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,102,11M 45S
95,102,11M 18S
95,104,10M 55S
96,104,10M 43S
97,104,10M 43S
97,105,10M 28S
97,106,10M 28S
97,108,10M 8S
99,108,9M 55S
101,108,9M 26S
103,108,8M 17S
103,110,7M 31S
106,110,7M 18S
106,112,6M 3S
106,115,4M 23S
108,115,3M 8S
108,117,2M 54S
110,117,2M 37S
110,119,2M 12S
113,119,2M 3S
113,121,1M 44S
116,121,1M 30S
116,122,14S
116,123,14S
118,123,8S
118,124,7S
118,125,7S
End of 4th quarter,NA,0S
