Golden State,San Antonio,time_rem
13-12,14-11,48M 0S
0,0,47M 40S
0,2,46M 42S
1,2,46M 31S
2,2,46M 31S
3,2,46M 8S
3,4,45M 49S
3,6,45M 5S
6,6,44M 33S
6,8,44M 17S
8,8,43M 36S
8,10,43M 15S
8,12,42M 56S
8,14,42M 9S
8,15,41M 25S
8,16,41M 25S
11,16,41M 3S
13,16,40M 38S
13,19,40M 14S
15,19,39M 55S
Jump ball: D. Green vs. D. DeRozan (K. Bazemore gains possession),NA,39M 15S
15,20,39M 7S
15,21,39M 7S
16,21,38M 51S
17,21,38M 51S
19,21,38M 25S
19,24,38M 13S
21,24,38M 1S
23,24,37M 28S
26,24,37M 3S
26,25,36M 44S
26,26,36M 44S
28,26,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,35M 43S
30,27,35M 34S
30,28,35M 34S
33,28,35M 13S
33,29,34M 17S
33,30,34M 17S
33,32,33M 41S
36,32,33M 27S
38,32,32M 53S
38,34,31M 41S
40,34,31M 25S
40,36,30M 45S
40,39,29M 6S
40,41,28M 23S
42,41,28M 11S
42,42,27M 49S
42,43,27M 49S
44,43,27M 30S
44,46,26M 5S
44,47,25M 44S
44,48,25M 44S
46,48,25M 28S
47,48,25M 4S
48,48,25M 4S
49,48,24M 33S
50,48,24M 33S
50,50,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,50,23M 47S
52,50,23M 47S
53,50,23M 47S
53,53,23M 30S
55,53,22M 53S
Jump ball: D. Vassell vs. S. Curry (D. DeRozan gains possession),NA,22M 27S
58,53,22M 10S
60,53,21M 15S
60,55,21M 2S
63,55,20M 49S
65,55,20M 14S
67,55,19M 9S
70,55,18M 49S
73,55,18M 0S
76,55,17M 17S
76,57,17M 4S
76,58,17M 4S
76,61,16M 39S
78,61,15M 59S
78,63,15M 43S
81,63,15M 30S
83,63,15M 6S
83,65,14M 46S
86,65,14M 31S
86,66,13M 25S
86,67,13M 25S
86,70,13M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,72,11M 43S
88,72,11M 23S
88,74,10M 39S
88,76,10M 12S
90,76,9M 59S
91,76,9M 59S
93,76,9M 33S
93,79,9M 24S
96,79,9M 1S
96,81,8M 45S
99,81,7M 39S
102,81,6M 53S
102,83,6M 40S
102,84,5M 27S
104,84,5M 11S
106,84,4M 40S
106,86,4M 20S
106,88,2M 31S
109,88,1M 56S
109,90,1M 21S
112,90,1M 7S
114,90,42S
114,91,31S
End of 4th quarter,NA,0S
