Atlanta,Milwaukee,time_rem
8-8,10-6,48M 0S
0,2,47M 42S
2,2,47M 0S
2,5,44M 49S
2,7,44M 15S
2,9,43M 50S
5,9,43M 36S
5,10,42M 53S
5,11,42M 53S
6,11,42M 35S
6,14,42M 18S
6,16,41M 48S
6,19,41M 16S
9,19,40M 59S
11,19,40M 25S
11,21,39M 54S
11,23,39M 15S
13,23,38M 51S
13,25,38M 36S
13,28,37M 33S
15,28,37M 13S
15,30,36M 33S
15,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,32,35M 46S
17,35,35M 21S
19,35,34M 58S
19,37,34M 10S
19,39,33M 37S
20,39,33M 22S
20,42,33M 1S
22,42,32M 29S
23,42,32M 4S
24,42,32M 4S
24,44,31M 41S
26,44,31M 28S
29,44,30M 58S
29,46,30M 46S
29,47,30M 46S
32,47,30M 29S
32,49,30M 15S
32,51,28M 33S
32,53,28M 6S
32,55,27M 48S
34,55,27M 34S
34,58,27M 20S
36,58,27M 2S
36,59,26M 50S
37,59,26M 35S
38,59,26M 35S
38,61,26M 21S
39,61,26M 11S
40,61,26M 11S
43,61,25M 11S
43,64,24M 57S
45,64,24M 40S
47,64,24M 22S
47,66,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,66,23M 37S
50,68,23M 29S
52,68,23M 6S
55,68,22M 22S
55,70,22M 9S
57,70,21M 46S
57,72,21M 33S
58,72,20M 49S
59,72,20M 49S
60,72,19M 45S
61,72,19M 45S
61,73,19M 35S
61,74,19M 35S
63,74,19M 1S
65,74,18M 34S
65,76,18M 16S
68,76,18M 6S
68,78,17M 43S
70,78,17M 27S
70,80,17M 10S
70,81,16M 47S
70,82,16M 47S
72,82,16M 23S
72,84,16M 13S
72,85,15M 49S
75,85,15M 37S
75,86,15M 22S
75,87,15M 22S
77,87,14M 57S
77,88,14M 48S
77,89,14M 48S
78,89,14M 31S
79,89,14M 31S
79,91,14M 12S
81,91,13M 45S
81,92,13M 22S
81,94,12M 27S
83,94,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,94,11M 14S
86,96,10M 58S
88,96,10M 35S
88,99,10M 18S
88,101,9M 41S
88,103,9M 12S
91,103,8M 52S
91,104,8M 36S
91,105,8M 36S
91,106,8M 36S
91,108,8M 25S
94,108,8M 12S
94,110,7M 57S
94,111,7M 57S
96,111,7M 16S
96,113,7M 0S
96,115,6M 31S
98,115,6M 13S
98,118,5M 56S
101,118,5M 46S
103,118,5M 19S
103,120,5M 0S
105,120,4M 46S
106,120,4M 17S
107,120,4M 17S
107,122,3M 59S
109,122,3M 8S
109,124,2M 7S
112,124,1M 57S
113,124,1M 47S
113,126,1M 35S
115,126,1M 13S
115,127,1M 11S
115,129,36S
End of 4th quarter,NA,0S
