Brooklyn,Minnesota,time_rem
37-17,14-41,48M 0S
0,0,47M 44S
3,0,46M 27S
3,3,46M 9S
5,3,45M 56S
8,3,45M 32S
8,5,45M 8S
10,5,44M 10S
10,8,43M 58S
13,8,43M 27S
15,8,42M 32S
16,8,41M 34S
17,8,41M 34S
19,8,41M 12S
20,8,41M 12S
21,8,40M 25S
22,8,40M 25S
22,10,40M 13S
24,10,40M 3S
24,13,39M 50S
24,15,39M 23S
26,15,39M 6S
27,15,39M 6S
27,17,38M 27S
28,17,38M 13S
29,17,38M 13S
31,17,37M 45S
33,17,37M 33S
33,19,37M 13S
33,22,36M 37S
33,25,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,25,34M 52S
38,25,34M 23S
40,25,34M 4S
40,26,33M 54S
42,26,33M 35S
45,26,33M 14S
47,26,32M 55S
49,26,32M 22S
49,28,32M 2S
51,28,31M 39S
51,31,30M 37S
51,33,29M 58S
53,33,29M 19S
53,34,29M 8S
53,35,29M 8S
55,35,28M 48S
55,37,28M 30S
58,37,28M 22S
61,37,27M 55S
61,40,27M 40S
64,40,27M 23S
64,42,27M 9S
65,42,26M 54S
66,42,26M 54S
66,43,26M 1S
66,44,26M 1S
68,44,25M 48S
69,44,25M 48S
69,45,25M 8S
69,46,25M 8S
70,46,24M 59S
70,48,24M 45S
73,48,24M 33S
73,50,24M 25S
73,52,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,53,23M 20S
75,53,22M 39S
75,54,22M 6S
75,55,22M 6S
78,55,21M 27S
80,55,21M 3S
81,55,21M 3S
81,57,20M 44S
83,57,20M 15S
83,59,19M 52S
83,60,19M 52S
84,60,19M 29S
85,60,19M 29S
88,60,19M 5S
91,60,18M 39S
91,61,18M 19S
91,62,18M 19S
93,62,18M 7S
93,65,17M 55S
93,68,17M 22S
95,68,16M 56S
95,69,16M 39S
95,70,16M 39S
97,70,16M 27S
100,70,15M 22S
100,71,14M 56S
100,72,14M 51S
100,73,14M 21S
100,74,14M 21S
102,74,13M 37S
104,74,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
106,74,11M 44S
108,74,11M 14S
111,74,10M 49S
114,74,10M 16S
115,74,9M 25S
116,74,9M 25S
116,75,9M 13S
116,76,9M 13S
117,76,9M 4S
119,76,8M 34S
121,76,7M 58S
121,78,7M 45S
121,81,7M 28S
121,84,6M 51S
123,84,6M 30S
123,87,6M 11S
123,90,5M 41S
123,92,4M 24S
125,92,2M 21S
125,93,2M 9S
125,94,1M 51S
126,94,1M 18S
127,94,1M 18S
127,95,56S
127,97,31S
End of 4th quarter,NA,0S
