Atlanta,Utah,time_rem
5-6,8-4,48M 0S
0,0,47M 43S
0,2,47M 19S
0,4,46M 47S
2,4,46M 12S
2,7,45M 58S
2,10,45M 28S
4,10,45M 16S
4,13,45M 4S
4,16,44M 37S
4,18,43M 54S
6,18,43M 34S
6,19,43M 17S
8,19,42M 48S
10,19,42M 31S
12,19,42M 17S
13,19,42M 17S
15,19,41M 39S
15,21,39M 47S
15,23,39M 23S
17,23,39M 7S
17,25,38M 41S
19,25,38M 23S
19,26,38M 15S
19,27,38M 15S
21,27,37M 39S
21,29,37M 6S
21,31,36M 35S
23,31,36M 10S
23,33,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,33,35M 50S
27,33,35M 15S
27,36,34M 57S
29,36,33M 30S
29,38,33M 7S
31,38,32M 53S
31,40,32M 5S
32,40,31M 51S
33,40,31M 51S
33,42,30M 51S
35,42,30M 30S
37,42,29M 47S
37,45,28M 54S
40,45,28M 34S
40,48,28M 10S
40,51,27M 22S
42,51,27M 14S
42,54,26M 41S
44,54,26M 21S
44,55,26M 5S
44,56,26M 5S
46,56,25M 39S
46,58,25M 28S
46,60,24M 59S
46,61,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,61,23M 25S
48,61,23M 25S
51,61,23M 2S
53,61,22M 36S
55,61,22M 18S
57,61,21M 48S
57,62,21M 33S
57,63,21M 33S
59,63,21M 9S
59,66,20M 25S
59,69,19M 44S
62,69,19M 24S
62,70,19M 15S
62,73,18M 46S
64,73,18M 28S
65,73,18M 28S
65,76,18M 14S
65,78,17M 55S
66,78,17M 47S
66,80,17M 37S
66,82,16M 2S
68,82,15M 33S
70,82,14M 30S
71,82,14M 17S
72,82,14M 17S
74,82,14M 2S
74,85,12M 51S
74,87,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,90,11M 52S
Jump ball: R. Gobert vs. C. Capela (M. Conley gains possession),NA,11M 14S
74,92,11M 6S
74,93,11M 6S
74,96,10M 41S
74,98,9M 57S
74,100,9M 42S
74,103,9M 20S
76,103,8M 34S
76,106,8M 6S
79,106,7M 51S
81,106,7M 15S
81,109,6M 54S
83,109,6M 18S
85,109,4M 56S
86,109,4M 36S
88,109,3M 33S
89,109,2M 53S
89,111,2M 13S
89,113,1M 49S
89,116,1M 28S
92,116,34S
End of 4th quarter,NA,0S
