Brooklyn,Milwaukee,time_rem
2-2,2-2,48M 0S
0,0,47M 44S
2,0,46M 32S
2,2,45M 52S
5,2,45M 28S
7,2,44M 44S
9,2,44M 17S
9,4,43M 37S
9,7,42M 49S
9,9,42M 31S
10,9,42M 16S
11,9,42M 16S
11,11,41M 45S
14,11,41M 12S
16,11,40M 13S
16,14,40M 3S
18,14,39M 23S
18,17,39M 10S
21,17,38M 58S
21,20,38M 46S
21,23,38M 34S
24,23,37M 55S
26,23,37M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,23,35M 47S
28,23,35M 47S
31,23,35M 10S
34,23,34M 22S
34,25,34M 4S
36,25,33M 44S
36,28,33M 33S
36,29,33M 33S
36,32,33M 10S
36,35,32M 40S
36,37,32M 16S
38,37,31M 55S
38,40,31M 41S
38,42,31M 17S
38,44,30M 24S
40,44,30M 4S
42,44,29M 34S
43,44,28M 32S
43,47,27M 59S
45,47,27M 43S
45,50,27M 10S
47,50,26M 47S
47,52,24M 49S
47,53,24M 49S
48,53,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,54,22M 56S
48,56,22M 32S
50,56,22M 3S
50,58,21M 43S
50,60,20M 51S
50,62,20M 20S
50,64,19M 21S
50,66,18M 50S
52,66,18M 3S
52,68,17M 45S
54,68,17M 24S
56,68,16M 49S
56,69,16M 36S
57,69,16M 11S
57,71,16M 3S
57,74,15M 37S
58,74,15M 15S
59,74,15M 15S
61,74,14M 51S
61,75,14M 6S
61,76,14M 6S
61,77,14M 6S
62,77,13M 55S
63,77,13M 55S
63,78,13M 22S
64,78,13M 15S
65,78,13M 15S
67,78,12M 40S
69,78,12M 6S
69,81,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,81,11M 5S
71,84,10M 50S
73,84,10M 15S
73,86,9M 57S
73,87,9M 36S
76,87,9M 24S
76,89,8M 55S
78,89,8M 39S
78,90,8M 33S
78,92,8M 19S
78,94,7M 54S
78,97,7M 1S
81,97,6M 9S
83,97,5M 40S
84,97,5M 40S
84,99,5M 19S
84,101,3M 46S
86,101,3M 29S
86,102,3M 3S
86,103,3M 3S
88,103,2M 23S
88,104,1M 46S
91,104,1M 31S
91,107,1M 13S
94,107,1M 7S
96,107,28S
End of 4th quarter,NA,0S
