Atlanta,Brooklyn,time_rem
4-1,3-3,48M 0S
0,0,47M 49S
2,0,46M 44S
2,2,46M 29S
5,2,46M 19S
5,4,45M 58S
7,4,45M 41S
10,4,45M 23S
10,6,45M 8S
10,8,44M 49S
13,8,44M 31S
15,8,44M 4S
15,10,43M 38S
17,10,43M 0S
17,12,42M 43S
19,12,42M 7S
19,14,40M 44S
19,16,40M 12S
21,16,39M 59S
23,16,39M 27S
23,17,39M 13S
23,18,39M 13S
25,18,39M 1S
25,20,38M 30S
27,20,36M 43S
27,22,36M 31S
27,23,36M 31S
29,23,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,25,35M 44S
29,26,35M 6S
29,27,35M 6S
31,27,34M 48S
31,29,34M 35S
34,29,34M 20S
37,29,33M 58S
37,31,33M 44S
40,31,33M 16S
42,31,32M 48S
43,31,32M 36S
44,31,32M 36S
44,32,32M 26S
46,32,32M 7S
48,32,31M 42S
48,34,31M 34S
48,37,30M 57S
50,37,30M 38S
50,39,30M 28S
50,41,29M 37S
50,42,28M 47S
50,43,28M 47S
52,43,28M 30S
53,43,27M 27S
54,43,27M 27S
54,44,27M 7S
54,46,26M 34S
57,46,26M 18S
58,46,25M 51S
59,46,25M 51S
59,47,24M 59S
59,48,24M 59S
59,50,24M 29S
60,50,24M 10S
61,50,24M 10S
61,52,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,55,23M 47S
64,55,22M 51S
66,55,21M 56S
66,57,21M 39S
67,57,21M 23S
68,57,21M 23S
70,57,21M 6S
70,58,20M 54S
72,58,20M 15S
72,60,20M 2S
72,63,19M 33S
72,64,19M 8S
72,65,19M 8S
74,65,18M 16S
74,68,17M 51S
76,68,17M 37S
78,68,16M 51S
81,68,15M 59S
81,70,15M 14S
83,70,14M 55S
86,70,13M 55S
89,70,12M 49S
89,73,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,75,11M 33S
89,76,10M 39S
89,77,10M 39S
92,77,10M 27S
94,77,9M 5S
97,77,8M 33S
97,80,8M 13S
100,80,7M 56S
Jump ball: J. Harris vs. B. Goodwin (C. LeVert gains possession),NA,7M 44S
100,83,7M 38S
102,83,6M 29S
102,85,5M 42S
102,87,5M 3S
104,87,4M 34S
104,89,4M 22S
104,91,3M 41S
107,91,3M 19S
107,92,3M 0S
107,93,3M 0S
108,93,2M 57S
109,93,2M 57S
109,95,2M 36S
112,95,1M 36S
114,95,59S
114,96,54S
End of 4th quarter,NA,0S
