Philadelphia,Washington,time_rem
3-0,0-3,48M 0S
2,0,47M 40S
2,2,47M 27S
2,4,47M 1S
4,4,46M 42S
4,6,46M 33S
6,6,46M 21S
8,6,45M 22S
10,6,44M 48S
12,6,44M 22S
12,9,44M 11S
12,11,43M 38S
14,11,43M 20S
17,11,42M 58S
20,11,42M 10S
20,13,41M 52S
23,13,41M 38S
26,13,41M 10S
27,13,40M 54S
28,13,40M 54S
28,14,40M 30S
30,14,40M 22S
30,16,40M 8S
30,18,39M 39S
30,20,38M 51S
32,20,38M 19S
32,22,38M 9S
33,22,37M 53S
34,22,37M 53S
34,23,37M 38S
34,24,37M 38S
35,24,37M 21S
35,26,37M 10S
36,26,36M 40S
36,28,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,28,35M 33S
38,31,35M 8S
40,31,34M 47S
40,33,34M 21S
40,34,34M 21S
40,36,33M 13S
42,36,32M 57S
42,38,32M 37S
44,38,32M 17S
46,38,31M 54S
46,40,31M 35S
48,40,31M 19S
48,41,31M 5S
48,42,31M 5S
48,43,31M 5S
51,43,31M 1S
51,46,30M 32S
54,46,30M 22S
54,48,29M 19S
56,48,29M 2S
56,50,28M 54S
59,50,28M 46S
62,50,28M 16S
64,50,27M 44S
64,53,27M 25S
64,55,26M 50S
64,57,26M 16S
67,57,25M 49S
69,57,25M 10S
70,57,25M 10S
71,57,24M 53S
71,58,24M 42S
72,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,61,23M 47S
72,64,23M 4S
75,64,22M 41S
78,64,22M 16S
78,66,22M 3S
80,66,21M 44S
80,69,21M 32S
82,69,21M 7S
84,69,20M 38S
87,69,20M 17S
87,71,19M 46S
87,73,19M 11S
88,73,18M 21S
89,73,18M 21S
91,73,17M 55S
91,74,17M 43S
91,75,17M 43S
93,75,17M 29S
95,75,17M 15S
95,76,17M 6S
95,77,17M 6S
97,77,16M 43S
97,79,16M 20S
100,79,15M 58S
103,79,15M 19S
103,82,14M 59S
105,82,14M 48S
107,82,14M 1S
109,82,13M 27S
109,84,13M 14S
109,85,12M 53S
109,86,12M 53S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,86,11M 46S
113,86,11M 16S
113,88,11M 6S
113,90,9M 27S
113,92,8M 53S
113,93,8M 22S
113,94,8M 22S
115,94,8M 5S
117,94,7M 46S
119,94,6M 46S
122,94,5M 18S
122,96,4M 56S
125,96,4M 23S
126,96,3M 36S
127,96,3M 36S
127,97,3M 24S
127,98,3M 24S
127,99,3M 24S
127,101,2M 57S
130,101,2M 43S
130,103,2M 3S
132,103,1M 43S
End of 4th quarter,NA,0S
