Memphis,Miami,time_rem
25-23,26-25,48M 0S
0,2,47M 40S
2,2,47M 0S
2,5,46M 50S
4,5,46M 33S
6,5,46M 12S
6,7,45M 57S
8,7,45M 43S
8,9,45M 32S
8,11,45M 11S
10,11,44M 38S
11,11,44M 38S
11,13,44M 5S
12,13,43M 49S
13,13,43M 30S
14,13,43M 30S
14,15,43M 13S
14,18,42M 58S
15,18,42M 41S
15,21,42M 15S
18,21,41M 56S
18,23,41M 46S
19,23,41M 27S
20,23,41M 27S
20,25,41M 9S
22,25,40M 58S
22,27,40M 27S
24,27,40M 15S
26,27,39M 52S
27,27,39M 52S
27,29,39M 37S
Jump ball: X. Tillman vs. G. Dragić (D. Bane gains possession),NA,39M 15S
27,30,38M 41S
29,30,37M 45S
29,33,37M 23S
32,33,37M 4S
32,34,36M 57S
34,34,36M 44S
37,34,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,34,34M 44S
40,37,34M 22S
43,37,34M 5S
43,39,33M 41S
46,39,33M 15S
46,41,31M 38S
48,41,31M 13S
48,42,30M 58S
48,44,30M 12S
51,44,29M 58S
51,46,29M 12S
53,46,28M 47S
54,46,27M 50S
54,49,27M 27S
57,49,27M 6S
57,51,26M 49S
60,51,26M 36S
60,52,25M 45S
60,55,24M 48S
63,55,24M 31S
63,57,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,57,23M 46S
65,57,23M 46S
66,57,23M 46S
66,59,23M 26S
69,59,23M 12S
69,61,22M 44S
69,63,22M 15S
71,63,21M 52S
71,64,21M 21S
71,65,21M 21S
74,65,21M 10S
74,67,20M 54S
77,67,20M 34S
77,69,20M 20S
77,70,19M 56S
77,71,19M 56S
77,74,19M 32S
79,74,19M 15S
82,74,18M 54S
84,74,17M 33S
84,76,17M 19S
84,78,16M 32S
84,81,14M 58S
87,81,14M 44S
87,83,14M 30S
87,84,14M 30S
89,84,13M 30S
89,86,13M 19S
91,86,13M 4S
91,89,12M 53S
93,89,12M 42S
96,89,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,92,11M 26S
99,92,11M 7S
101,92,10M 32S
103,92,9M 54S
103,94,9M 37S
105,94,9M 7S
107,94,8M 36S
109,94,8M 1S
109,97,7M 41S
111,97,7M 18S
111,99,6M 53S
113,99,6M 26S
115,99,5M 49S
116,99,5M 44S
116,101,4M 58S
117,101,3M 55S
118,101,3M 55S
120,101,3M 39S
120,103,3M 24S
122,103,3M 6S
122,105,2M 50S
124,105,2M 1S
124,106,1M 37S
124,107,1M 37S
124,109,58S
124,112,34S
End of 4th quarter,NA,0S
