Phoenix,Dallas,time_rem
11-8,8-13,48M 0S
0,0,47M 37S
0,2,47M 29S
0,4,46M 57S
2,4,46M 41S
2,6,46M 27S
4,6,46M 8S
6,6,45M 49S
6,8,45M 17S
8,8,44M 40S
10,8,43M 28S
10,10,43M 12S
12,10,42M 56S
15,10,40M 12S
15,13,39M 56S
15,14,39M 34S
15,15,39M 34S
15,18,39M 6S
17,18,38M 16S
19,18,37M 1S
20,18,37M 1S
20,20,36M 32S
22,20,36M 9S
22,22,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,22,35M 34S
25,22,34M 59S
25,24,34M 42S
27,24,32M 30S
27,27,32M 14S
27,28,31M 36S
27,29,31M 36S
27,30,31M 36S
29,30,31M 26S
31,30,31M 0S
31,32,30M 33S
33,32,30M 17S
33,34,30M 2S
35,34,29M 47S
35,37,29M 29S
37,37,29M 17S
37,39,29M 2S
37,41,28M 40S
39,41,28M 15S
39,43,27M 34S
42,43,27M 11S
45,43,26M 44S
45,45,26M 29S
46,45,26M 5S
47,45,26M 5S
47,46,25M 52S
47,47,25M 27S
47,48,25M 27S
47,51,25M 4S
47,53,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,53,22M 47S
49,55,22M 30S
49,57,22M 3S
52,57,21M 38S
52,60,21M 20S
52,62,20M 49S
54,62,20M 29S
57,62,20M 14S
57,63,20M 1S
57,64,20M 1S
58,64,19M 36S
59,64,19M 36S
59,67,19M 18S
59,68,18M 56S
59,69,18M 56S
62,69,18M 45S
62,71,18M 22S
64,71,18M 16S
64,72,17M 52S
64,73,17M 52S
66,73,17M 36S
66,75,17M 17S
66,77,16M 48S
68,77,16M 14S
68,78,16M 12S
71,78,15M 53S
72,78,15M 5S
73,78,15M 5S
75,78,14M 14S
75,79,14M 2S
75,80,14M 2S
77,80,13M 50S
77,82,12M 58S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,82,11M 47S
79,84,11M 22S
82,84,10M 33S
82,87,10M 19S
85,87,9M 56S
87,87,9M 19S
89,87,8M 19S
92,87,7M 56S
92,89,7M 13S
92,90,7M 13S
95,90,6M 40S
95,91,6M 24S
95,92,6M 24S
97,92,6M 11S
97,94,5M 57S
97,97,5M 29S
97,99,4M 10S
98,99,4M 8S
99,99,4M 8S
99,101,3M 48S
102,101,2M 21S
102,104,1M 52S
104,104,1M 40S
104,105,1M 21S
104,106,1M 21S
106,106,55S
106,107,54S
106,108,54S
Jump ball: D. Ayton vs. K. Porziņģis (L. Dončić gains possession),NA,10S
109,108,1S
End of 4th quarter,NA,0S
