San Antonio,Miami,time_rem
31-30,33-30,48M 0S
0,0,47M 35S
0,1,47M 35S
0,2,47M 35S
2,2,47M 28S
2,4,47M 14S
2,6,46M 44S
4,6,46M 4S
4,9,45M 56S
4,11,45M 34S
6,11,45M 18S
6,13,43M 41S
6,15,42M 54S
8,15,42M 43S
9,15,41M 53S
11,15,40M 57S
11,18,40M 38S
11,20,40M 15S
12,20,40M 1S
13,20,40M 1S
13,22,39M 2S
13,24,38M 22S
13,26,37M 57S
13,27,37M 57S
15,27,37M 36S
15,29,37M 15S
17,29,36M 55S
20,29,36M 34S
20,31,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,31,35M 44S
26,31,35M 17S
28,31,34M 41S
28,33,33M 48S
28,35,33M 20S
30,35,33M 10S
32,35,32M 29S
32,36,31M 53S
34,36,31M 31S
34,38,31M 14S
36,38,30M 59S
39,38,30M 28S
39,40,30M 13S
40,40,29M 58S
41,40,29M 58S
41,42,29M 49S
43,42,29M 5S
44,42,29M 5S
44,44,28M 22S
46,44,27M 33S
48,44,26M 56S
50,44,26M 33S
50,47,26M 18S
50,49,25M 52S
50,50,25M 52S
50,52,25M 27S
51,52,25M 18S
52,52,25M 18S
53,52,24M 22S
54,52,24M 22S
54,55,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,57,23M 24S
56,57,23M 7S
56,59,22M 59S
56,61,22M 23S
58,61,22M 13S
60,61,21M 50S
60,64,21M 19S
61,64,20M 58S
62,64,20M 58S
62,65,20M 37S
64,65,19M 40S
67,65,19M 3S
69,65,18M 39S
70,65,17M 8S
71,65,17M 8S
71,67,16M 27S
74,67,16M 13S
74,69,15M 49S
74,71,15M 21S
74,72,15M 21S
74,73,14M 39S
74,74,14M 39S
74,76,13M 58S
74,77,12M 56S
74,80,12M 31S
74,81,12M 3S
74,82,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,84,11M 27S
77,84,11M 8S
80,84,10M 36S
80,87,10M 15S
80,89,9M 52S
82,89,8M 55S
82,92,8M 42S
85,92,8M 28S
85,94,8M 15S
86,94,8M 0S
86,96,7M 24S
88,96,7M 9S
90,96,6M 36S
90,97,6M 15S
90,98,6M 15S
92,98,6M 0S
93,98,6M 0S
93,100,5M 53S
93,101,5M 53S
95,101,5M 37S
95,103,5M 15S
97,103,4M 54S
97,105,4M 40S
97,106,4M 40S
98,106,4M 30S
99,106,4M 30S
99,109,4M 16S
101,109,3M 51S
103,109,2M 12S
104,109,2M 12S
106,109,1M 46S
106,110,1M 29S
106,111,1M 29S
108,111,1M 16S
108,113,51S
108,114,51S
111,114,44S
111,115,21S
111,116,21S
End of 4th quarter,NA,0S
