Philadelphia,Atlanta,time_rem
3-3,3-3,48M 0S
0,2,47M 35S
0,4,47M 11S
0,6,46M 45S
2,6,46M 4S
2,7,45M 58S
2,8,45M 58S
2,10,45M 40S
4,10,45M 18S
4,12,44M 56S
6,12,44M 38S
6,14,44M 27S
8,14,44M 7S
8,16,43M 47S
8,19,42M 58S
8,20,42M 41S
10,20,41M 56S
13,20,40M 59S
13,22,40M 41S
13,25,40M 14S
16,25,39M 58S
18,25,39M 28S
20,25,37M 53S
20,27,37M 21S
22,27,36M 49S
22,29,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,29,35M 47S
25,29,35M 27S
27,29,34M 49S
29,29,34M 11S
29,31,33M 21S
29,33,32M 42S
29,35,32M 7S
29,37,31M 47S
29,39,31M 26S
31,39,31M 7S
34,39,30M 39S
36,39,29M 22S
36,41,29M 3S
38,41,28M 41S
40,41,27M 41S
40,43,27M 29S
42,43,27M 4S
42,45,25M 32S
42,48,24M 56S
45,48,24M 39S
45,51,24M 32S
47,51,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,51,23M 45S
53,51,22M 43S
56,51,22M 10S
59,51,21M 46S
61,51,20M 53S
61,53,20M 34S
61,56,20M 3S
63,56,18M 53S
66,56,18M 25S
66,57,17M 53S
68,57,17M 35S
68,59,17M 15S
68,61,16M 44S
68,62,16M 44S
68,64,16M 25S
70,64,16M 6S
72,64,15M 21S
72,67,15M 6S
72,70,14M 19S
75,70,13M 58S
75,72,13M 39S
75,74,13M 14S
78,74,12M 48S
80,74,12M 26S
80,75,12M 25S
80,76,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,78,11M 40S
81,78,10M 30S
84,78,9M 47S
84,81,8M 16S
85,81,7M 7S
86,81,7M 7S
87,81,6M 40S
88,81,6M 18S
88,82,6M 4S
88,83,6M 4S
89,83,5M 54S
90,83,5M 54S
90,84,5M 47S
92,84,5M 21S
92,85,4M 31S
92,86,3M 54S
92,87,3M 54S
94,87,3M 36S
94,90,2M 48S
94,93,1M 59S
96,93,1M 45S
97,93,1M 15S
98,93,27S
98,95,20S
99,95,18S
100,95,18S
100,97,14S
101,97,13S
102,97,13S
102,99,3S
103,99,2S
104,99,2S
End of 4th quarter,NA,0S
