LA Lakers,Memphis,time_rem
6-2,2-5,48M 0S
2,0,47M 43S
2,3,46M 45S
4,3,46M 23S
6,3,45M 47S
8,3,44M 26S
10,3,44M 6S
10,5,42M 39S
10,7,42M 1S
12,7,41M 16S
14,7,40M 57S
15,7,40M 57S
15,9,40M 34S
15,11,40M 20S
15,13,39M 49S
17,13,39M 28S
17,15,38M 44S
17,18,38M 10S
19,18,37M 50S
19,21,37M 6S
19,23,36M 33S
19,24,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,26,35M 45S
22,26,34M 47S
24,26,34M 3S
27,26,33M 46S
27,27,32M 59S
27,28,32M 59S
27,31,32M 33S
30,31,32M 19S
30,33,31M 37S
30,35,31M 1S
32,35,30M 47S
32,38,30M 40S
32,40,30M 14S
34,40,29M 31S
37,40,28M 41S
37,42,28M 4S
37,43,28M 4S
37,45,26M 54S
39,45,26M 3S
39,47,25M 41S
39,49,25M 25S
42,49,25M 7S
44,49,24M 41S
45,49,24M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,49,23M 22S
47,51,21M 48S
50,51,21M 31S
50,53,20M 46S
53,53,20M 14S
55,53,19M 24S
57,53,18M 55S
57,55,18M 33S
59,55,18M 20S
59,58,17M 57S
60,58,17M 41S
63,58,17M 15S
65,58,15M 45S
65,61,15M 15S
65,63,14M 15S
65,64,14M 15S
65,66,13M 48S
67,66,13M 26S
67,67,12M 53S
67,68,12M 53S
Jump ball: A. Davis vs. J. Valančiūnas (D. Schröder gains possession),NA,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,70,11M 17S
67,71,11M 17S
69,71,11M 4S
71,71,9M 45S
72,71,9M 45S
72,72,9M 30S
74,72,9M 7S
74,75,8M 45S
74,77,5M 59S
75,77,5M 39S
77,77,5M 29S
77,79,5M 18S
80,79,4M 22S
82,79,4M 1S
82,81,3M 0S
84,81,2M 10S
86,81,1M 35S
86,83,1M 27S
88,83,1M 3S
89,83,40S
90,83,40S
91,83,31S
92,83,31S
92,86,23S
92,87,16S
92,89,10S
94,89,3S
94,92,1S
End of 4th quarter,NA,0S
