San Antonio,Portland,time_rem
32-35,39-29,48M 0S
0,0,47M 44S
3,0,47M 8S
5,0,46M 49S
6,0,46M 19S
7,0,46M 19S
9,0,46M 0S
9,2,45M 42S
10,2,45M 27S
11,2,45M 27S
11,3,44M 54S
11,4,44M 54S
13,4,44M 44S
13,7,43M 28S
13,10,42M 42S
15,10,41M 59S
15,12,41M 38S
15,14,41M 6S
17,14,40M 45S
17,16,40M 31S
17,18,40M 3S
17,19,40M 3S
19,19,39M 53S
19,20,39M 42S
19,21,39M 42S
22,21,38M 40S
24,21,37M 50S
24,22,37M 27S
24,23,37M 27S
26,23,37M 15S
26,25,36M 35S
26,26,36M 3S
26,27,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,27,35M 48S
28,29,35M 7S
28,31,34M 38S
28,33,33M 33S
30,33,33M 18S
32,33,31M 50S
34,33,31M 24S
34,36,31M 10S
34,38,30M 11S
34,41,29M 35S
36,41,29M 18S
37,41,28M 37S
38,41,28M 37S
38,43,28M 23S
38,46,27M 45S
41,46,27M 23S
41,49,27M 14S
43,49,27M 1S
43,52,26M 48S
44,52,26M 27S
45,52,26M 27S
47,52,25M 39S
47,55,25M 13S
47,57,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,57,23M 44S
49,59,23M 29S
49,61,22M 53S
49,63,22M 21S
49,65,21M 42S
51,65,21M 29S
54,65,21M 1S
54,67,20M 47S
54,69,20M 12S
56,69,19M 57S
56,72,19M 38S
57,72,19M 8S
58,72,19M 8S
61,72,18M 34S
61,74,17M 51S
61,75,17M 25S
61,77,17M 3S
63,77,16M 51S
63,79,16M 15S
65,79,15M 59S
68,79,15M 30S
68,80,15M 19S
68,81,15M 19S
71,81,14M 2S
71,82,13M 39S
71,83,13M 39S
71,85,13M 15S
73,85,13M 4S
73,86,12M 55S
73,87,12M 55S
75,87,12M 45S
75,90,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,90,11M 34S
78,92,11M 3S
80,92,10M 48S
80,94,10M 32S
81,94,10M 15S
81,95,10M 4S
81,96,10M 4S
81,97,9M 43S
81,98,9M 43S
82,98,9M 35S
84,98,8M 42S
84,100,8M 24S
Jump ball: J. Poeltl vs. R. Hollis,Jefferson (R. Gay gains possession),7M 46S
84,101,7M 27S
84,102,7M 27S
86,102,6M 48S
86,105,6M 35S
87,105,6M 23S
88,105,6M 23S
88,107,6M 9S
88,109,5M 49S
88,112,5M 24S
88,114,4M 47S
90,114,4M 33S
90,116,4M 20S
92,116,4M 6S
92,118,3M 53S
94,118,3M 36S
95,118,3M 1S
96,118,3M 1S
97,118,3M 1S
97,120,2M 50S
98,120,2M 36S
99,120,2M 17S
100,120,2M 17S
100,122,1M 50S
100,124,1M 27S
102,124,58S
End of 4th quarter,NA,0S
