LA Clippers,Indiana,time_rem
38-18,25-28,48M 0S
2,0,47M 42S
2,2,47M 27S
4,2,47M 3S
5,2,46M 40S
6,2,46M 40S
6,3,46M 26S
6,4,46M 26S
9,4,45M 10S
9,5,44M 19S
9,6,44M 19S
11,6,44M 8S
11,8,43M 53S
12,8,43M 44S
13,8,43M 44S
13,10,43M 37S
15,10,43M 1S
15,12,42M 27S
16,12,42M 10S
16,14,42M 2S
16,16,41M 32S
19,16,41M 14S
19,19,41M 1S
21,19,40M 39S
21,21,40M 27S
23,21,40M 2S
23,24,39M 54S
23,26,39M 28S
25,26,39M 12S
25,28,38M 52S
25,30,38M 19S
25,31,38M 19S
28,31,38M 7S
31,31,37M 17S
31,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,36,35M 53S
33,36,35M 25S
34,36,34M 59S
34,38,34M 49S
34,40,34M 44S
35,40,34M 14S
36,40,34M 14S
37,40,33M 55S
38,40,33M 55S
40,40,33M 41S
40,41,32M 48S
42,41,32M 21S
44,41,31M 44S
44,43,31M 24S
47,43,31M 2S
50,43,30M 31S
51,43,29M 41S
52,43,29M 41S
52,45,29M 17S
52,48,29M 6S
54,48,28M 51S
54,49,28M 24S
54,50,28M 24S
56,50,28M 12S
56,52,27M 51S
56,54,27M 34S
56,55,27M 34S
58,55,26M 54S
58,58,26M 39S
61,58,26M 26S
61,59,26M 16S
63,59,25M 30S
65,59,24M 57S
65,62,24M 45S
65,64,24M 28S
67,64,24M 8S
67,65,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,67,23M 20S
70,67,23M 3S
70,69,22M 37S
70,71,22M 15S
70,73,21M 22S
72,73,21M 1S
73,73,21M 1S
76,73,20M 24S
76,75,20M 6S
79,75,19M 54S
79,76,19M 32S
79,77,19M 32S
81,77,19M 17S
81,79,19M 3S
81,82,18M 42S
83,82,18M 23S
83,84,17M 42S
85,84,17M 23S
85,86,17M 12S
87,86,16M 54S
89,86,16M 37S
91,86,16M 7S
91,88,15M 45S
93,88,15M 26S
93,89,15M 20S
95,89,15M 0S
95,90,14M 41S
95,91,14M 41S
98,91,14M 27S
98,93,13M 28S
100,93,13M 5S
100,95,12M 55S
100,97,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,97,11M 46S
104,97,11M 15S
106,97,10M 27S
108,97,10M 7S
108,99,9M 49S
111,99,9M 25S
111,101,9M 8S
113,101,8M 7S
113,104,7M 49S
115,104,6M 47S
115,106,6M 28S
118,106,6M 7S
120,106,5M 35S
120,109,5M 22S
120,111,2M 40S
122,111,1M 46S
123,111,58S
124,111,58S
124,112,54S
124,113,54S
125,113,46S
126,113,46S
126,115,33S
End of 4th quarter,NA,0S
