Chicago,Philadelphia,time_rem
12-16,20-10,48M 0S
0,2,47M 35S
0,3,47M 15S
2,3,46M 56S
2,4,46M 40S
2,5,46M 40S
4,5,46M 21S
4,8,46M 7S
6,8,45M 35S
8,8,45M 9S
8,10,44M 47S
8,13,44M 7S
8,15,43M 39S
8,16,43M 39S
10,16,43M 22S
10,19,42M 43S
12,19,42M 10S
14,19,41M 47S
14,20,41M 28S
14,22,41M 15S
16,22,40M 18S
18,22,39M 55S
18,24,39M 28S
20,24,39M 16S
21,24,39M 16S
21,26,39M 2S
21,28,38M 42S
21,30,38M 13S
23,30,37M 23S
24,30,37M 23S
26,30,37M 1S
27,30,36M 35S
28,30,36M 35S
28,32,36M 28S
29,32,36M 10S
30,32,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,32,35M 49S
33,32,35M 33S
34,32,35M 33S
34,34,35M 13S
34,36,34M 41S
36,36,33M 53S
39,36,33M 6S
39,38,31M 24S
39,40,30M 58S
41,40,30M 7S
41,42,29M 40S
41,45,29M 9S
41,47,28M 13S
43,47,27M 51S
44,47,27M 51S
44,49,27M 34S
46,49,27M 9S
46,51,26M 44S
49,51,25M 58S
49,53,25M 21S
49,54,24M 47S
49,55,24M 47S
51,55,24M 38S
51,57,24M 33S
51,58,24M 33S
52,58,24M 28S
53,58,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,60,22M 51S
53,62,21M 28S
53,63,21M 28S
55,63,21M 14S
56,63,20M 51S
57,63,20M 51S
58,63,20M 38S
59,63,20M 38S
59,65,19M 28S
61,65,19M 14S
63,65,18M 43S
63,68,17M 52S
66,68,17M 27S
66,70,17M 2S
66,71,16M 35S
66,72,16M 35S
69,72,16M 26S
69,74,16M 5S
71,74,15M 48S
71,76,15M 35S
71,78,15M 10S
73,78,14M 47S
73,81,14M 25S
73,83,13M 59S
75,83,13M 33S
76,83,13M 33S
78,83,13M 18S
79,83,13M 12S
79,85,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,85,11M 21S
81,87,9M 18S
83,87,9M 9S
86,87,8M 37S
88,87,8M 31S
89,87,8M 31S
89,88,8M 12S
89,90,7M 45S
89,91,6M 55S
89,92,6M 55S
89,94,5M 55S
92,94,5M 41S
92,95,5M 28S
92,96,5M 28S
94,96,5M 17S
94,98,5M 1S
96,98,4M 18S
96,101,3M 55S
98,101,3M 24S
98,102,3M 5S
98,103,3M 5S
100,103,2M 54S
100,105,2M 41S
103,105,2M 17S
103,106,1M 28S
103,107,1M 28S
103,109,41S
103,110,29S
103,111,16S
103,112,16S
105,112,7S
End of 4th quarter,NA,0S
