New York,Boston,time_rem
6-8,8-4,48M 0S
0,0,47M 47S
2,0,47M 6S
2,2,46M 53S
5,2,46M 17S
7,2,45M 50S
7,4,45M 9S
8,4,43M 53S
11,4,42M 52S
11,7,41M 52S
12,7,41M 41S
13,7,41M 41S
15,7,41M 2S
15,10,40M 20S
17,10,40M 6S
17,13,39M 54S
18,13,39M 31S
19,13,39M 31S
21,13,38M 44S
21,15,38M 27S
24,15,38M 7S
24,17,37M 55S
25,17,37M 0S
26,17,37M 0S
28,17,36M 31S
Jump ball: D. Theis vs. N. Noel (P. Pritchard gains possession),NA,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,19,34M 48S
30,19,34M 34S
30,22,34M 22S
33,22,33M 22S
33,24,33M 3S
35,24,31M 24S
35,26,31M 14S
35,27,31M 14S
35,29,30M 37S
37,29,30M 11S
Jump ball: T. Thompson vs. M. Robinson (S. Ojeleye gains possession),NA,28M 57S
39,29,28M 26S
40,29,28M 5S
42,29,27M 23S
44,29,26M 50S
44,31,26M 4S
46,31,25M 43S
Jump ball: R. Barrett vs. M. Smart (R. Bullock gains possession),NA,25M 17S
46,32,24M 50S
46,33,24M 50S
47,33,24M 34S
48,33,24M 34S
48,35,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,35,23M 47S
53,35,23M 7S
56,35,22M 49S
58,35,20M 5S
58,37,19M 53S
60,37,19M 35S
60,39,19M 24S
62,39,19M 5S
62,40,18M 54S
62,41,18M 34S
62,44,17M 32S
64,44,17M 23S
65,44,17M 23S
65,46,16M 49S
67,46,16M 28S
69,46,14M 5S
70,46,14M 5S
72,46,13M 30S
72,47,13M 7S
72,50,12M 50S
75,50,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,50,11M 32S
77,52,11M 16S
77,53,10M 32S
77,54,10M 32S
80,54,10M 16S
80,56,10M 3S
81,56,9M 17S
81,58,8M 58S
84,58,8M 46S
84,59,8M 31S
87,59,8M 6S
87,60,7M 49S
87,62,7M 22S
89,62,6M 20S
89,63,6M 10S
89,64,6M 10S
92,64,5M 49S
94,64,5M 22S
95,64,4M 53S
96,64,4M 53S
98,64,4M 16S
101,64,3M 53S
101,65,3M 44S
101,66,3M 44S
102,66,3M 31S
102,67,3M 17S
102,69,2M 41S
102,70,2M 20S
102,71,2M 20S
103,71,1M 38S
103,74,49S
105,74,35S
105,75,21S
End of 4th quarter,NA,0S
