Philadelphia,Utah,time_rem
18-10,23-5,48M 0S
0,0,47M 35S
2,0,47M 18S
2,2,47M 2S
4,2,46M 34S
4,4,46M 20S
6,4,46M 11S
6,6,45M 52S
7,6,45M 36S
8,6,45M 36S
11,6,45M 10S
11,7,44M 53S
11,8,44M 53S
13,8,44M 39S
13,10,44M 11S
15,10,44M 2S
18,10,43M 43S
20,10,43M 11S
22,10,42M 34S
24,10,42M 14S
24,13,41M 50S
26,13,41M 37S
26,16,41M 25S
28,16,41M 6S
28,19,40M 55S
30,19,40M 42S
31,19,40M 42S
31,22,40M 29S
32,22,40M 12S
33,22,40M 12S
34,22,40M 12S
34,25,39M 51S
36,25,39M 29S
36,27,39M 17S
37,27,39M 0S
38,27,39M 0S
38,30,38M 44S
40,30,38M 5S
40,33,37M 26S
42,33,37M 0S
42,35,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
44,35,35M 28S
44,37,35M 8S
44,39,34M 31S
44,42,34M 2S
46,42,33M 50S
46,45,33M 8S
48,45,32M 39S
48,47,32M 24S
50,47,32M 5S
50,48,31M 57S
50,49,31M 57S
52,49,31M 31S
53,49,31M 15S
55,49,30M 30S
55,50,30M 6S
55,51,30M 6S
55,53,29M 30S
55,54,29M 30S
55,56,29M 10S
55,57,29M 10S
55,59,28M 43S
57,59,28M 27S
59,59,28M 6S
59,60,27M 48S
59,61,27M 48S
59,63,26M 41S
59,64,26M 21S
59,65,26M 21S
59,67,25M 51S
61,67,25M 32S
63,67,25M 17S
63,68,25M 11S
63,69,25M 11S
63,71,24M 50S
63,72,24M 50S
66,72,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,74,23M 36S
67,74,23M 12S
68,74,22M 53S
69,74,22M 53S
69,76,22M 42S
69,78,21M 29S
69,79,21M 13S
69,80,21M 13S
72,80,21M 0S
72,81,20M 46S
72,83,20M 17S
74,83,19M 59S
74,86,19M 0S
76,86,18M 40S
76,89,18M 26S
78,89,18M 4S
78,91,17M 43S
79,91,17M 33S
80,91,17M 33S
82,91,17M 4S
82,94,16M 55S
84,94,16M 26S
84,97,16M 14S
86,97,15M 49S
88,97,14M 44S
88,98,14M 30S
91,98,14M 15S
91,99,13M 34S
92,99,13M 10S
92,101,12M 54S
94,101,12M 36S
94,104,12M 30S
94,105,12M 0S
94,106,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,108,11M 30S
94,110,11M 4S
96,110,10M 39S
98,110,9M 34S
99,110,9M 9S
100,110,9M 9S
102,110,8M 40S
104,110,8M 27S
104,111,7M 55S
104,113,7M 30S
105,113,7M 9S
106,113,7M 9S
109,113,6M 38S
109,115,6M 28S
109,116,6M 8S
109,117,6M 8S
109,118,6M 8S
112,118,5M 59S
112,121,5M 29S
114,121,4M 33S
116,121,4M 0S
116,123,3M 36S
116,126,3M 1S
118,126,2M 40S
118,129,2M 12S
119,129,1M 47S
120,129,1M 47S
120,131,49S
123,131,45S
123,134,34S
End of 4th quarter,NA,0S
