Boston,Denver,time_rem
28-26,34-19,48M 0S
0,0,47M 37S
0,3,46M 49S
0,5,46M 8S
2,5,45M 50S
5,5,45M 14S
5,7,44M 53S
5,9,44M 25S
5,12,43M 50S
5,14,42M 31S
5,16,42M 12S
7,16,41M 53S
9,16,41M 23S
9,19,41M 1S
10,19,40M 4S
10,22,39M 29S
12,22,39M 0S
13,22,39M 0S
13,25,38M 35S
13,27,37M 53S
15,27,37M 26S
16,27,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
16,29,34M 58S
17,29,34M 35S
18,29,34M 35S
19,29,34M 35S
21,29,34M 7S
21,31,33M 42S
23,31,33M 7S
25,31,32M 16S
26,31,32M 16S
26,33,31M 25S
28,33,31M 10S
29,33,31M 10S
29,34,30M 52S
29,35,30M 52S
29,38,30M 19S
29,39,29M 2S
31,39,28M 56S
31,41,28M 35S
31,43,28M 4S
32,43,27M 31S
33,43,27M 31S
34,43,27M 31S
34,44,27M 18S
35,44,27M 3S
36,44,27M 3S
36,46,26M 48S
38,46,26M 31S
40,46,25M 53S
40,49,25M 39S
40,50,24M 44S
40,51,24M 44S
43,51,24M 35S
45,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,53,23M 22S
47,53,23M 1S
50,53,22M 27S
50,55,21M 50S
50,57,21M 16S
50,58,21M 16S
50,60,20M 3S
52,60,19M 49S
52,62,19M 27S
52,63,19M 27S
54,63,19M 12S
55,63,19M 12S
55,64,18M 32S
55,65,18M 32S
58,65,18M 9S
58,66,17M 50S
58,68,17M 21S
58,70,16M 52S
60,70,16M 38S
60,71,16M 23S
60,72,16M 23S
62,72,16M 7S
62,74,15M 46S
62,76,15M 15S
65,76,14M 44S
65,79,14M 17S
67,79,13M 31S
69,79,13M 13S
71,79,12M 50S
73,79,12M 0S
74,79,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,79,11M 32S
78,79,10M 53S
79,79,10M 32S
80,79,10M 32S
80,80,9M 55S
82,80,9M 8S
83,80,8M 39S
84,80,8M 39S
85,80,8M 39S
85,82,7M 8S
87,82,6M 51S
90,82,6M 20S
92,82,5M 35S
94,82,5M 11S
96,82,4M 41S
96,84,3M 48S
96,85,3M 48S
98,85,3M 12S
Jump ball: M. Porter vs. R. Williams (M. Morris gains possession),NA,2M 27S
100,85,2M 1S
100,87,1M 50S
102,87,1M 34S
105,87,1M 4S
End of 4th quarter,NA,0S
