Miami,New York,time_rem
23-24,24-23,48M 0S
0,0,47M 34S
2,0,46M 56S
4,0,45M 15S
6,0,44M 41S
6,2,43M 51S
6,4,42M 52S
8,4,42M 42S
8,6,42M 7S
8,8,41M 24S
11,8,41M 10S
11,11,40M 44S
11,12,40M 9S
12,12,39M 59S
13,12,39M 59S
15,12,38M 52S
18,12,37M 59S
18,14,36M 54S
18,16,36M 24S
21,16,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,16,35M 20S
23,17,34M 39S
23,18,34M 39S
25,18,34M 30S
27,18,34M 2S
27,20,33M 0S
27,22,32M 33S
27,25,32M 7S
27,27,31M 27S
27,28,30M 53S
27,31,30M 22S
27,34,29M 46S
30,34,29M 21S
30,35,28M 32S
30,37,28M 9S
32,37,27M 21S
34,37,26M 30S
34,39,26M 8S
34,41,25M 43S
34,43,25M 6S
35,43,24M 56S
36,43,24M 56S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
38,43,22M 52S
38,45,22M 9S
40,45,21M 50S
42,45,21M 29S
43,45,21M 29S
45,45,21M 14S
45,47,20M 57S
47,47,20M 36S
47,48,20M 29S
47,50,20M 10S
50,50,19M 44S
50,51,19M 19S
52,51,18M 25S
Jump ball: G. Dragić vs. E. Payton (J. Butler gains possession),NA,18M 2S
54,51,17M 54S
54,53,17M 39S
57,53,17M 19S
58,53,17M 2S
59,53,17M 2S
61,53,15M 50S
61,54,15M 38S
61,56,15M 16S
62,56,15M 7S
63,56,15M 7S
63,58,14M 52S
64,58,14M 41S
64,60,14M 3S
65,60,13M 58S
66,60,13M 58S
66,61,13M 19S
69,61,12M 49S
69,64,12M 34S
72,64,12M 30S
75,64,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,64,11M 10S
78,67,10M 44S
80,67,10M 26S
80,69,9M 31S
82,69,7M 59S
84,69,7M 33S
84,70,7M 9S
84,71,7M 9S
84,72,7M 9S
86,72,6M 32S
86,75,6M 27S
86,78,5M 37S
88,78,3M 42S
90,78,3M 1S
92,78,2M 31S
92,80,1M 47S
93,80,1M 30S
94,80,1M 30S
96,80,1M 8S
96,83,58S
96,86,32S
98,86,21S
98,88,9S
End of 4th quarter,NA,0S
