Miami,Toronto,time_rem
6-8,6-9,48M 0S
0,0,47M 43S
0,2,47M 5S
0,5,46M 37S
0,7,46M 11S
2,7,45M 41S
2,10,45M 20S
2,13,44M 54S
5,13,44M 39S
7,13,44M 17S
7,14,44M 1S
9,14,42M 55S
9,16,42M 41S
11,16,42M 9S
11,19,41M 58S
11,22,41M 29S
11,25,41M 4S
11,27,40M 19S
13,27,40M 7S
13,30,39M 55S
13,31,39M 26S
13,32,39M 26S
13,34,38M 52S
15,34,38M 39S
16,34,37M 39S
18,34,36M 56S
18,37,36M 31S
19,37,36M 25S
20,37,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,37,35M 27S
23,37,34M 57S
23,40,34M 14S
25,40,33M 30S
25,42,32M 41S
28,42,32M 26S
28,44,31M 18S
30,44,30M 43S
30,45,30M 19S
30,46,30M 19S
30,47,30M 19S
30,49,29M 7S
33,49,28M 49S
36,49,28M 1S
36,51,27M 29S
38,51,27M 4S
38,53,25M 46S
38,56,25M 21S
40,56,25M 5S
41,56,24M 37S
42,56,24M 37S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,56,23M 32S
46,56,23M 9S
46,59,22M 49S
48,59,22M 35S
48,61,21M 49S
51,61,21M 25S
53,61,20M 18S
55,61,19M 44S
57,61,19M 22S
59,61,18M 7S
61,61,17M 26S
61,63,17M 10S
61,65,16M 25S
Jump ball: P. Siakam vs. K. Olynyk (N. Powell gains possession),NA,16M 4S
61,68,15M 40S
61,71,15M 5S
61,73,14M 3S
64,73,13M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,75,11M 21S
67,75,10M 58S
69,75,10M 18S
69,78,9M 54S
69,80,9M 18S
69,82,8M 53S
71,82,8M 6S
71,85,7M 45S
73,85,7M 21S
73,87,7M 13S
73,89,5M 10S
73,91,4M 34S
73,93,4M 23S
75,93,3M 31S
75,95,2M 40S
77,95,2M 15S
77,98,1M 27S
79,98,1M 16S
79,101,1M 2S
80,101,56S
81,101,56S
End of 4th quarter,NA,0S
