Golden State,LA Lakers,time_rem
7-6,11-4,48M 0S
0,2,47M 41S
0,5,47M 2S
2,5,46M 50S
2,6,46M 39S
2,7,46M 39S
2,8,46M 25S
2,10,46M 10S
3,10,45M 57S
4,10,45M 57S
6,10,45M 30S
6,13,45M 17S
8,13,44M 38S
10,13,43M 59S
10,15,43M 54S
10,18,42M 45S
10,20,42M 17S
10,22,41M 38S
10,23,41M 38S
12,23,41M 27S
12,25,40M 51S
14,25,40M 34S
14,27,40M 11S
14,29,39M 52S
14,31,39M 18S
14,33,38M 14S
15,33,38M 1S
15,34,37M 14S
17,34,36M 53S
19,34,36M 38S
22,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,35,35M 38S
24,35,35M 25S
24,37,35M 8S
26,37,34M 52S
28,37,33M 58S
28,39,33M 34S
31,39,33M 14S
31,40,33M 11S
33,40,32M 22S
34,40,32M 22S
34,42,32M 5S
37,42,31M 16S
37,45,30M 39S
37,46,29M 39S
37,47,29M 39S
39,47,29M 29S
39,49,28M 43S
42,49,28M 31S
42,51,27M 40S
42,53,27M 26S
42,55,26M 54S
44,55,26M 45S
44,57,26M 21S
44,60,26M 4S
46,60,25M 19S
46,61,24M 40S
46,62,24M 40S
48,62,24M 31S
48,63,24M 12S
48,64,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: J. Wiseman vs. A. Davis (M. Gasol gains possession),NA,23M 30S
49,64,23M 24S
49,66,23M 13S
51,66,22M 45S
51,68,22M 27S
52,68,22M 24S
55,68,21M 59S
58,68,21M 14S
58,70,20M 59S
61,70,20M 43S
64,70,19M 59S
67,70,18M 33S
68,70,18M 32S
68,72,17M 36S
68,74,17M 5S
68,77,16M 51S
70,77,16M 26S
71,77,16M 26S
72,77,16M 10S
73,77,16M 10S
75,77,15M 54S
75,79,15M 41S
77,79,15M 23S
77,80,15M 8S
77,81,14M 45S
77,82,14M 45S
77,85,14M 21S
77,88,13M 47S
78,88,13M 38S
79,88,13M 38S
79,90,13M 25S
81,90,13M 10S
81,92,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,94,11M 42S
83,94,11M 27S
83,97,11M 12S
85,97,10M 58S
88,97,10M 20S
88,99,10M 0S
90,99,9M 37S
90,101,9M 22S
93,101,9M 2S
95,101,8M 37S
95,103,8M 13S
97,103,7M 45S
97,104,7M 30S
97,105,7M 30S
97,106,5M 52S
99,106,5M 29S
101,106,4M 57S
101,107,4M 35S
101,108,4M 35S
103,108,3M 36S
104,108,3M 36S
105,108,3M 15S
106,108,3M 15S
108,108,3M 10S
110,108,2M 40S
112,108,1M 39S
112,110,1M 24S
115,110,1M 7S
115,111,51S
115,112,51S
115,113,30S
End of 4th quarter,NA,0S
