Memphis,Golden State,time_rem
38-34,39-33,48M 0S
2,0,47M 45S
3,0,47M 9S
3,2,47M 0S
5,2,46M 50S
5,4,46M 26S
6,4,46M 16S
8,4,45M 59S
9,4,45M 21S
10,4,45M 21S
12,4,45M 1S
12,5,44M 51S
12,6,44M 51S
12,8,44M 28S
14,8,44M 0S
17,8,43M 39S
17,10,43M 16S
19,10,42M 26S
19,12,42M 11S
19,15,41M 12S
21,15,40M 57S
21,17,40M 17S
23,17,39M 55S
23,19,39M 45S
23,21,39M 24S
25,21,39M 3S
25,24,38M 48S
27,24,38M 35S
27,25,37M 29S
27,26,37M 29S
29,26,37M 7S
29,28,36M 52S
29,30,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,32,35M 10S
31,32,34M 32S
31,33,33M 35S
31,34,33M 1S
31,35,33M 1S
31,37,32M 25S
31,40,32M 1S
33,40,31M 7S
33,42,30M 42S
34,42,30M 31S
35,42,30M 31S
37,42,29M 29S
38,42,29M 3S
39,42,29M 3S
41,42,28M 43S
41,44,28M 27S
41,46,27M 54S
42,46,27M 41S
44,46,27M 2S
44,49,26M 46S
46,49,26M 32S
46,51,26M 25S
46,53,25M 53S
46,55,25M 23S
49,55,25M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,57,23M 18S
49,60,22M 32S
51,60,22M 9S
53,60,21M 22S
56,60,20M 53S
56,63,20M 23S
58,63,20M 10S
58,66,19M 40S
58,69,18M 37S
58,71,17M 51S
60,71,17M 41S
60,73,17M 18S
60,75,16M 55S
60,76,16M 55S
62,76,16M 39S
62,78,15M 44S
65,78,15M 29S
65,81,14M 47S
67,81,13M 2S
67,83,12M 38S
69,83,12M 26S
69,86,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,86,11M 1S
72,86,10M 26S
74,86,9M 53S
77,86,9M 28S
77,87,8M 51S
77,88,8M 51S
79,88,8M 34S
79,91,8M 23S
81,91,8M 10S
84,91,7M 51S
85,91,7M 15S
86,91,7M 15S
87,91,6M 47S
88,91,6M 47S
90,91,6M 32S
91,91,6M 32S
91,92,6M 12S
91,93,6M 12S
93,93,5M 56S
95,93,5M 28S
95,95,5M 8S
97,95,4M 49S
97,98,4M 28S
97,100,3M 54S
97,103,3M 17S
Jump ball: J. Jackson vs. D. Green (K. Anderson gains possession),NA,2M 56S
97,106,2M 12S
97,109,1M 35S
Jump ball: K. Looney vs. D. Melton (A. Wiggins gains possession),NA,1M 18S
99,109,54S
99,110,38S
99,111,38S
99,112,27S
101,112,9S
101,113,7S
End of 4th quarter,NA,0S
