Atlanta,Golden State,time_rem
23-22,22-24,48M 0S
0,0,47M 36S
2,0,46M 54S
2,2,46M 40S
4,2,46M 16S
4,5,45M 58S
6,5,45M 43S
9,5,45M 23S
11,5,44M 54S
11,7,44M 41S
14,7,43M 10S
14,9,42M 55S
15,9,42M 24S
15,11,42M 12S
17,11,41M 46S
17,12,41M 29S
18,12,41M 23S
19,12,41M 23S
21,12,40M 57S
21,14,40M 13S
21,16,39M 3S
22,16,38M 47S
22,18,38M 29S
23,18,38M 15S
24,18,38M 15S
24,21,38M 5S
27,21,37M 47S
27,23,37M 35S
27,24,37M 35S
29,24,37M 20S
29,26,36M 53S
31,26,36M 44S
33,26,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,35M 27S
34,28,35M 9S
34,29,35M 0S
34,30,35M 0S
37,30,34M 46S
37,33,34M 25S
39,33,34M 2S
41,33,33M 34S
43,33,31M 58S
44,33,31M 10S
44,35,30M 51S
46,35,30M 37S
46,37,30M 25S
48,37,30M 15S
50,37,29M 47S
50,40,29M 31S
52,40,29M 10S
52,42,28M 52S
52,43,28M 52S
54,43,28M 29S
57,43,27M 41S
59,43,27M 25S
59,45,27M 8S
61,45,26M 54S
64,45,26M 24S
65,45,26M 4S
66,45,26M 4S
66,46,25M 54S
67,46,25M 40S
68,46,25M 40S
68,47,25M 16S
68,48,24M 50S
68,49,24M 50S
70,49,24M 32S
70,52,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,52,23M 15S
75,52,22M 54S
76,52,22M 54S
76,55,22M 36S
76,57,22M 4S
76,58,22M 4S
76,61,21M 32S
78,61,21M 16S
80,61,20M 38S
83,61,20M 17S
83,64,19M 31S
83,66,19M 0S
83,67,19M 0S
83,68,18M 33S
84,68,18M 14S
85,68,18M 14S
85,69,17M 58S
85,70,17M 58S
88,70,17M 46S
88,72,17M 34S
88,73,17M 34S
90,73,17M 3S
90,76,15M 31S
93,76,15M 12S
93,77,14M 56S
95,77,14M 14S
98,77,13M 47S
98,79,13M 18S
100,79,13M 5S
100,81,12M 47S
100,84,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,84,11M 45S
103,84,11M 45S
103,86,11M 22S
104,86,11M 2S
105,86,11M 2S
105,88,10M 16S
107,88,9M 59S
108,88,8M 38S
108,91,8M 18S
110,91,6M 59S
110,93,6M 43S
112,93,6M 22S
112,95,6M 6S
112,97,5M 35S
114,97,5M 8S
114,98,4M 33S
117,98,4M 14S
119,98,3M 32S
119,100,3M 16S
121,100,2M 51S
124,100,1M 51S
124,102,1M 39S
124,103,1M 39S
124,105,1M 10S
124,108,5S
End of 4th quarter,NA,0S
