Toronto,Golden State,time_rem
2-7,6-4,48M 0S
0,0,47M 45S
0,2,46M 30S
0,5,45M 56S
1,5,45M 47S
1,7,44M 54S
1,8,44M 54S
1,10,44M 33S
2,10,43M 56S
3,10,43M 56S
6,10,42M 40S
6,13,42M 23S
6,15,42M 2S
9,15,41M 41S
9,18,41M 30S
11,18,41M 4S
11,20,40M 51S
13,20,40M 42S
15,20,40M 4S
15,22,39M 52S
18,22,39M 39S
18,23,39M 26S
18,24,39M 26S
20,24,39M 7S
20,26,38M 50S
22,26,38M 12S
22,28,36M 42S
24,28,36M 27S
24,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,31,35M 37S
27,33,34M 37S
27,36,33M 53S
29,36,33M 42S
30,36,33M 42S
30,37,33M 27S
30,38,33M 27S
32,38,33M 19S
32,41,33M 1S
32,43,31M 51S
33,43,30M 29S
33,46,30M 17S
33,48,29M 54S
35,48,29M 41S
35,49,29M 30S
35,51,29M 3S
37,51,28M 18S
39,51,27M 42S
39,53,27M 30S
41,53,27M 14S
43,53,26M 45S
43,55,26M 15S
46,55,25M 56S
46,57,25M 45S
49,57,25M 29S
49,58,24M 59S
49,61,24M 51S
51,61,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,61,23M 43S
54,63,22M 16S
56,63,21M 42S
56,65,21M 39S
57,65,21M 5S
57,67,20M 52S
60,67,20M 38S
63,67,19M 44S
63,70,19M 23S
65,70,18M 53S
65,72,17M 48S
65,74,17M 22S
68,74,16M 42S
68,76,16M 13S
70,76,15M 17S
70,79,15M 5S
72,79,14M 0S
72,81,13M 33S
72,83,12M 53S
72,84,12M 53S
72,85,12M 32S
72,86,12M 32S
72,87,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,88,11M 41S
72,89,11M 41S
75,89,11M 30S
77,89,11M 5S
78,89,11M 5S
78,92,10M 29S
80,92,9M 52S
82,92,9M 37S
83,92,9M 37S
83,94,9M 27S
84,94,9M 10S
85,94,8M 21S
86,94,8M 21S
88,94,7M 47S
90,94,7M 13S
91,94,5M 51S
93,94,5M 17S
93,97,4M 59S
96,97,4M 17S
98,97,3M 22S
101,97,2M 58S
101,100,2M 43S
102,100,1M 49S
103,100,1M 49S
103,101,1M 37S
103,102,1M 37S
103,104,1M 6S
105,104,45S
105,105,4S
105,106,4S
End of 4th quarter,NA,0S
