LA Clippers,Cleveland,time_rem
17-6,10-12,48M 0S
0,0,47M 41S
0,2,47M 11S
2,2,46M 49S
2,4,46M 31S
5,4,46M 14S
5,6,45M 45S
7,6,45M 22S
9,6,44M 55S
10,6,44M 31S
13,6,44M 3S
13,8,43M 53S
13,9,43M 53S
16,9,43M 40S
16,11,43M 27S
18,11,43M 16S
18,13,42M 57S
20,13,42M 41S
20,15,42M 22S
23,15,42M 1S
25,15,41M 20S
26,15,40M 54S
27,15,40M 54S
27,17,40M 34S
30,17,40M 13S
30,19,39M 34S
30,21,38M 26S
33,21,37M 58S
33,23,37M 44S
33,25,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,27,35M 25S
35,27,35M 6S
38,27,34M 30S
38,29,33M 23S
38,31,32M 48S
39,31,32M 39S
39,33,32M 22S
39,35,30M 50S
39,37,30M 25S
39,39,29M 53S
39,41,29M 31S
39,43,27M 55S
41,43,27M 8S
41,44,26M 55S
41,45,26M 55S
43,45,26M 29S
43,46,26M 9S
43,47,26M 9S
45,47,25M 48S
46,47,25M 15S
48,47,25M 11S
50,47,24M 33S
50,49,24M 19S
52,49,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,49,23M 6S
57,49,22M 38S
59,49,22M 3S
61,49,21M 26S
61,50,20M 44S
61,51,20M 44S
63,51,20M 18S
63,53,19M 56S
66,53,19M 21S
66,54,19M 0S
66,55,19M 0S
66,57,18M 35S
66,59,18M 2S
69,59,17M 51S
72,59,17M 25S
72,62,16M 47S
74,62,16M 22S
77,62,15M 56S
77,64,15M 29S
77,66,14M 56S
78,66,14M 42S
79,66,14M 42S
79,68,14M 29S
79,69,14M 29S
79,71,13M 58S
81,71,13M 43S
82,71,13M 12S
82,72,12M 39S
85,72,12M 27S
85,74,12M 7S
88,74,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,77,11M 46S
89,77,11M 26S
89,79,11M 12S
92,79,10M 53S
92,81,10M 37S
93,81,10M 28S
94,81,10M 28S
94,83,10M 9S
96,83,9M 48S
96,85,9M 32S
98,85,9M 24S
98,88,9M 9S
101,88,8M 30S
101,90,6M 57S
103,90,6M 51S
103,93,6M 26S
104,93,6M 12S
105,93,6M 12S
107,93,5M 42S
110,93,5M 9S
112,93,4M 33S
115,93,3M 58S
115,95,3M 23S
118,95,2M 39S
118,96,1M 26S
118,98,50S
118,99,50S
121,99,37S
End of 4th quarter,NA,0S
