Charlotte,Washington,time_rem
24-22,17-29,48M 0S
0,0,47M 37S
0,2,47M 28S
3,2,46M 51S
5,2,46M 12S
5,4,45M 46S
8,4,44M 55S
8,7,44M 19S
11,7,44M 7S
11,10,43M 54S
13,10,43M 15S
13,13,43M 4S
16,13,42M 23S
16,14,41M 50S
16,15,41M 50S
18,15,41M 31S
18,18,41M 18S
18,20,40M 27S
21,20,40M 6S
23,20,39M 47S
23,22,39M 15S
23,23,39M 15S
25,23,38M 48S
25,25,38M 25S
28,25,38M 13S
28,27,37M 54S
30,27,37M 26S
30,29,37M 13S
32,29,37M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,35M 4S
32,33,34M 36S
32,34,34M 36S
34,34,34M 26S
34,37,34M 11S
36,37,33M 51S
38,37,33M 9S
41,37,32M 45S
42,37,32M 21S
42,39,32M 10S
44,39,31M 50S
46,39,31M 26S
48,39,30M 28S
50,39,30M 2S
50,40,29M 55S
50,41,29M 55S
50,44,29M 8S
53,44,28M 45S
53,46,28M 25S
53,48,28M 1S
54,48,26M 50S
54,51,26M 41S
55,51,26M 27S
56,51,26M 27S
59,51,25M 57S
59,53,25M 37S
61,53,25M 17S
64,53,24M 11S
64,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,22M 29S
66,58,22M 14S
66,59,22M 14S
66,61,21M 27S
68,61,21M 11S
68,64,20M 57S
68,66,20M 13S
69,66,19M 33S
70,66,19M 33S
72,66,18M 19S
72,68,18M 6S
72,70,18M 0S
75,70,17M 39S
77,70,16M 41S
77,72,16M 28S
77,73,15M 56S
77,74,15M 56S
77,75,15M 33S
79,75,15M 15S
80,75,15M 15S
80,77,15M 1S
83,77,14M 47S
85,77,14M 10S
87,77,13M 0S
87,79,12M 37S
89,79,12M 30S
89,81,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: R. Lopez vs. C. Martin (R. Lopez gains possession),NA,11M 34S
91,81,10M 31S
91,83,10M 8S
92,83,9M 56S
93,83,9M 56S
93,85,9M 6S
96,85,8M 44S
96,87,7M 12S
98,87,6M 49S
98,89,6M 30S
98,91,6M 3S
98,93,5M 0S
98,95,4M 12S
100,95,3M 43S
102,95,3M 11S
102,97,2M 51S
103,97,2M 32S
104,97,2M 32S
107,97,1M 54S
107,98,1M 51S
107,101,1M 28S
109,101,1M 6S
110,101,42S
111,101,42S
111,103,36S
111,104,36S
112,104,34S
113,104,27S
114,104,27S
End of 4th quarter,NA,0S
