Boston,Toronto,time_rem
5-3,1-5,48M 0S
2,0,47M 45S
2,3,47M 24S
2,5,46M 31S
2,8,45M 57S
2,11,45M 6S
5,11,44M 49S
5,14,44M 32S
5,17,44M 3S
7,17,43M 51S
7,19,43M 44S
10,19,43M 35S
10,22,43M 13S
10,23,42M 29S
12,23,42M 16S
13,23,42M 16S
13,25,41M 37S
14,25,41M 8S
15,25,41M 8S
15,28,40M 19S
18,28,39M 37S
20,28,39M 6S
20,29,38M 6S
20,30,38M 6S
23,30,37M 46S
23,31,37M 39S
23,32,37M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,34,35M 20S
26,34,34M 47S
26,35,34M 34S
26,36,34M 34S
27,36,34M 5S
29,36,33M 47S
32,36,33M 30S
34,36,32M 41S
36,36,32M 8S
36,38,31M 37S
36,40,29M 57S
39,40,29M 34S
40,40,29M 18S
41,40,29M 18S
41,42,28M 38S
44,42,28M 16S
45,42,27M 40S
46,42,27M 40S
47,42,27M 40S
50,42,27M 9S
52,42,26M 45S
55,42,26M 18S
55,44,25M 51S
57,44,25M 18S
57,45,24M 59S
57,46,24M 59S
58,46,24M 48S
59,46,24M 48S
60,46,24M 35S
61,46,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,48,22M 59S
63,48,22M 45S
64,48,22M 45S
64,49,22M 36S
64,50,22M 36S
64,52,22M 14S
64,53,22M 14S
66,53,21M 55S
66,55,21M 25S
69,55,21M 11S
69,57,20M 48S
71,57,20M 38S
72,57,20M 38S
72,60,19M 25S
74,60,19M 13S
76,60,19M 8S
77,60,19M 8S
77,62,18M 57S
78,62,18M 46S
79,62,18M 46S
82,62,18M 17S
82,65,17M 40S
85,65,16M 32S
85,66,16M 21S
85,67,16M 21S
87,67,15M 58S
87,68,15M 48S
87,69,15M 48S
89,69,15M 38S
91,69,15M 14S
91,70,15M 3S
93,70,14M 49S
93,72,14M 40S
93,73,14M 40S
95,73,14M 19S
95,75,13M 57S
95,76,13M 22S
95,77,13M 22S
96,77,13M 1S
97,77,13M 1S
97,78,12M 52S
97,79,12M 52S
99,79,12M 38S
100,79,12M 38S
100,81,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,81,11M 33S
105,81,11M 14S
105,82,10M 44S
105,83,10M 44S
107,83,10M 21S
108,83,10M 0S
109,83,10M 0S
109,84,9M 42S
109,86,9M 19S
111,86,9M 5S
111,89,8M 50S
113,89,8M 33S
113,91,7M 52S
113,92,7M 52S
113,94,7M 26S
116,94,7M 18S
116,96,6M 56S
117,96,6M 41S
118,96,6M 41S
118,98,6M 13S
118,99,5M 51S
118,100,5M 51S
120,100,5M 27S
121,100,5M 27S
121,102,4M 47S
121,105,4M 0S
121,107,3M 16S
121,108,3M 16S
121,111,2M 36S
122,111,2M 3S
123,111,2M 3S
124,111,2M 3S
124,114,1M 52S
126,114,1M 27S
End of 4th quarter,NA,0S
