Miami,New York,time_rem
9-14,11-14,48M 0S
2,0,47M 36S
2,2,47M 13S
2,5,46M 46S
2,7,45M 57S
2,10,45M 25S
4,10,44M 26S
4,13,44M 15S
5,13,43M 37S
5,14,43M 15S
5,15,43M 15S
8,15,42M 37S
11,15,42M 1S
14,15,41M 33S
14,18,41M 12S
16,18,41M 6S
18,18,40M 35S
21,18,40M 11S
21,20,39M 12S
23,20,37M 34S
23,23,36M 54S
25,23,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,24,35M 36S
25,25,35M 36S
28,25,35M 12S
28,28,34M 56S
31,28,34M 14S
33,28,33M 38S
33,30,33M 23S
35,30,33M 8S
35,32,32M 45S
37,32,32M 18S
37,35,31M 58S
39,35,31M 33S
39,37,31M 16S
39,38,30M 18S
39,41,30M 3S
39,43,29M 26S
Jump ball: P. Achiuwa vs. M. Robinson (T. Herro gains possession),NA,28M 46S
42,43,28M 40S
44,43,28M 18S
44,45,28M 12S
46,45,27M 59S
46,48,27M 45S
48,48,27M 26S
48,51,27M 0S
50,51,26M 47S
53,51,26M 17S
53,53,25M 57S
56,53,25M 32S
56,56,25M 10S
58,56,25M 0S
58,59,24M 49S
60,59,24M 42S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,59,23M 30S
63,61,21M 56S
63,62,21M 56S
63,64,21M 22S
63,66,20M 46S
65,66,19M 56S
66,66,19M 56S
66,69,19M 41S
69,69,19M 30S
72,69,18M 56S
Jump ball: J. Butler vs. M. Robinson (B. Adebayo gains possession),NA,18M 11S
74,69,17M 59S
74,70,16M 19S
74,71,16M 19S
75,71,15M 32S
76,71,15M 32S
76,73,15M 5S
78,73,14M 45S
79,73,14M 24S
80,73,14M 24S
80,76,13M 43S
82,76,13M 28S
82,77,13M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,80,11M 26S
84,80,11M 7S
84,82,10M 51S
86,82,10M 36S
86,84,10M 24S
86,85,9M 31S
86,86,9M 31S
88,86,9M 13S
90,86,8M 40S
90,88,7M 31S
90,90,7M 0S
92,90,6M 31S
92,92,6M 11S
93,92,5M 34S
94,92,5M 34S
94,94,5M 15S
96,94,4M 18S
97,94,3M 48S
98,94,3M 48S
98,96,3M 24S
100,96,2M 23S
101,96,2M 23S
101,99,2M 5S
102,99,1M 38S
103,99,1M 38S
106,99,33S
107,99,20S
108,99,20S
108,101,14S
109,101,7S
109,103,1S
End of 4th quarter,NA,0S
