Charlotte,Brooklyn,time_rem
27-28,38-18,48M 0S
0,0,47M 42S
0,2,47M 39S
2,2,47M 22S
2,5,47M 5S
4,5,46M 54S
4,7,46M 43S
6,7,46M 18S
9,7,45M 54S
11,7,45M 32S
13,7,44M 59S
13,9,43M 52S
15,9,43M 35S
18,9,43M 12S
18,11,42M 49S
20,11,42M 26S
20,13,42M 4S
22,13,41M 48S
24,13,41M 25S
27,13,40M 56S
27,15,40M 45S
27,16,40M 45S
27,19,40M 24S
30,19,38M 57S
30,21,38M 36S
30,22,38M 9S
30,23,38M 9S
32,23,37M 57S
32,26,37M 11S
33,26,36M 52S
34,26,36M 52S
35,26,36M 24S
35,29,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,32,35M 16S
35,34,34M 38S
35,35,33M 6S
37,35,32M 49S
37,38,31M 49S
39,38,31M 32S
41,38,31M 1S
41,40,30M 3S
41,43,29M 30S
41,45,28M 59S
43,45,28M 39S
43,48,28M 13S
45,48,27M 57S
45,51,27M 48S
47,51,27M 38S
47,52,27M 25S
47,53,27M 25S
47,54,27M 25S
50,54,27M 9S
50,56,26M 21S
52,56,26M 12S
54,56,25M 41S
54,58,25M 9S
56,58,24M 49S
57,58,24M 49S
57,61,24M 40S
58,61,24M 28S
59,61,24M 28S
60,61,24M 1S
61,61,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,63,23M 36S
62,63,22M 56S
63,63,22M 56S
65,63,22M 34S
65,65,22M 13S
68,65,21M 59S
71,65,21M 13S
71,67,20M 52S
71,69,19M 43S
71,70,19M 43S
74,70,19M 23S
74,72,19M 6S
76,72,18M 59S
76,75,18M 43S
78,75,18M 1S
78,78,17M 24S
78,80,16M 46S
80,80,16M 33S
80,81,16M 14S
80,82,16M 14S
82,82,15M 56S
82,85,15M 32S
84,85,14M 41S
84,87,14M 26S
84,88,14M 26S
86,88,14M 5S
Jump ball: L. Shamet vs. B. Wanamaker (T. Luwawu,Cabarrot gains possession),13M 48S
86,91,13M 33S
89,91,13M 21S
89,94,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,94,11M 40S
91,97,11M 13S
91,98,11M 13S
92,98,10M 58S
92,101,10M 42S
93,101,10M 23S
93,102,10M 11S
93,103,10M 11S
93,104,10M 11S
93,106,9M 47S
93,109,8M 52S
94,109,7M 31S
94,111,7M 14S
94,113,7M 5S
96,113,6M 57S
96,115,6M 34S
99,115,6M 21S
99,118,5M 35S
101,118,5M 18S
103,118,4M 31S
103,121,4M 6S
105,121,3M 5S
105,124,2M 46S
107,124,2M 20S
110,124,1M 52S
110,126,1M 42S
111,126,1M 21S
112,126,1M 21S
112,128,58S
112,130,38S
115,130,22S
End of 4th quarter,NA,0S
