Toronto,Atlanta,time_rem
10-13,11-12,48M 0S
0,0,47M 34S
0,2,46M 52S
2,2,46M 38S
2,4,45M 14S
4,4,45M 0S
4,7,44M 45S
7,7,44M 28S
7,10,44M 15S
9,10,43M 40S
9,12,43M 27S
11,12,43M 21S
11,14,43M 12S
13,14,43M 2S
13,17,42M 51S
15,17,42M 43S
15,19,42M 24S
18,19,42M 8S
20,19,41M 43S
21,19,41M 43S
23,19,41M 21S
23,21,40M 45S
26,21,39M 40S
26,23,39M 14S
27,23,39M 0S
28,23,39M 0S
31,23,38M 10S
31,24,37M 55S
31,25,37M 55S
31,28,37M 8S
34,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,28,35M 38S
36,30,35M 17S
36,31,35M 17S
37,31,35M 7S
38,31,35M 7S
38,33,34M 50S
41,33,34M 22S
41,36,34M 8S
42,36,33M 54S
42,39,33M 36S
43,39,33M 22S
43,42,33M 15S
46,42,32M 54S
46,44,31M 37S
46,47,30M 15S
48,47,29M 50S
48,49,29M 14S
48,50,28M 53S
48,52,27M 56S
49,52,27M 43S
50,52,27M 43S
50,55,27M 32S
52,55,27M 23S
52,56,27M 12S
52,57,27M 12S
54,57,26M 56S
54,59,26M 39S
55,59,26M 33S
56,59,26M 33S
58,59,25M 47S
58,62,25M 34S
58,64,25M 6S
60,64,24M 40S
61,64,24M 25S
61,65,24M 16S
61,66,24M 16S
63,66,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,68,23M 28S
63,69,22M 51S
63,70,22M 51S
63,71,22M 51S
63,73,22M 25S
65,73,22M 17S
66,73,22M 17S
67,73,21M 32S
69,73,21M 10S
71,73,20M 40S
71,75,20M 25S
71,77,19M 47S
71,80,18M 36S
73,80,18M 15S
73,82,17M 34S
73,83,16M 56S
73,84,16M 56S
74,84,16M 40S
76,84,16M 13S
77,84,16M 13S
77,87,15M 54S
80,87,15M 37S
81,87,15M 13S
82,87,15M 13S
82,88,15M 2S
82,89,15M 2S
85,89,14M 49S
85,90,14M 47S
85,91,14M 47S
86,91,14M 41S
87,91,14M 41S
87,92,14M 41S
87,93,14M 41S
87,96,14M 31S
88,96,14M 19S
89,96,14M 19S
90,96,14M 19S
92,96,13M 48S
92,98,13M 26S
93,98,13M 9S
94,98,13M 9S
94,101,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,103,11M 39S
96,103,11M 19S
98,103,10M 45S
98,106,10M 1S
101,106,9M 45S
101,109,9M 5S
103,109,8M 27S
103,112,7M 20S
105,112,6M 37S
105,114,6M 11S
107,114,5M 53S
107,115,5M 24S
107,116,5M 24S
110,116,4M 39S
110,119,3M 31S
111,119,2M 43S
114,119,2M 33S
114,121,1M 51S
116,121,1M 41S
116,122,1M 25S
116,123,1M 25S
116,126,53S
116,127,36S
116,128,36S
116,129,28S
116,130,28S
118,130,19S
118,131,15S
118,132,15S
121,132,11S
End of 4th quarter,NA,0S
