Portland,Boston,time_rem
36-28,34-31,48M 0S
3,0,47M 47S
3,2,47M 21S
5,2,47M 6S
Jump ball: T. Thompson vs. J. Nurkić (J. Brown gains possession),NA,46M 43S
7,2,46M 20S
7,4,45M 59S
9,4,45M 43S
12,4,45M 4S
12,7,44M 42S
14,7,44M 3S
16,7,43M 38S
16,9,42M 47S
16,11,42M 5S
16,12,42M 5S
16,15,41M 43S
18,15,41M 16S
18,17,41M 3S
18,19,40M 45S
19,19,40M 26S
19,21,40M 11S
20,21,39M 48S
21,21,39M 48S
21,24,39M 37S
Jump ball: M. Smart vs. A. Simons (R. Williams gains possession),NA,39M 13S
23,24,38M 54S
24,24,38M 34S
24,26,38M 21S
24,29,37M 47S
26,29,36M 58S
26,32,36M 42S
28,32,36M 36S
31,32,36M 9S
34,32,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,35,35M 47S
37,35,35M 27S
37,38,34M 47S
39,38,34M 26S
39,41,34M 10S
41,41,33M 51S
41,42,33M 35S
41,43,33M 35S
43,43,33M 22S
44,43,33M 22S
44,45,33M 1S
44,48,32M 39S
47,48,32M 26S
47,49,32M 12S
47,50,32M 12S
48,50,31M 59S
49,50,31M 59S
49,52,31M 46S
51,52,31M 36S
51,54,31M 24S
52,54,31M 15S
53,54,31M 15S
53,57,30M 32S
56,57,30M 16S
56,58,29M 39S
56,59,29M 39S
59,59,29M 23S
59,61,28M 7S
62,61,27M 55S
62,62,27M 39S
62,63,27M 39S
62,66,27M 15S
64,66,26M 52S
64,69,25M 55S
66,69,25M 6S
66,71,24M 48S
69,71,24M 34S
70,71,24M 6S
71,71,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,71,23M 4S
73,74,22M 46S
75,74,22M 17S
75,77,21M 40S
78,77,21M 24S
81,77,20M 57S
81,79,20M 40S
83,79,20M 23S
84,79,20M 23S
84,81,19M 37S
84,83,19M 9S
87,83,18M 44S
89,83,18M 18S
89,85,17M 56S
92,85,17M 42S
93,85,17M 29S
94,85,17M 29S
94,88,16M 18S
96,88,15M 56S
96,90,15M 12S
98,90,14M 56S
98,93,14M 40S
99,93,14M 13S
100,93,14M 13S
100,96,14M 2S
100,98,13M 31S
103,98,13M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,98,11M 43S
105,100,11M 0S
105,101,11M 0S
105,104,9M 43S
106,104,9M 18S
107,104,9M 18S
107,106,8M 39S
110,106,7M 8S
113,106,6M 49S
113,109,6M 33S
115,109,6M 11S
115,111,5M 19S
117,111,4M 59S
117,113,4M 16S
120,113,3M 51S
120,114,3M 30S
120,117,2M 27S
121,117,1M 56S
121,118,1M 21S
121,119,1M 21S
124,119,1M 8S
126,119,55S
127,119,40S
128,119,30S
129,119,30S
End of 4th quarter,NA,0S
