New Orleans,Cleveland,time_rem
24-29,19-34,48M 0S
0,0,47M 45S
0,3,47M 33S
3,3,47M 19S
5,3,46M 57S
5,6,46M 44S
8,6,46M 30S
11,6,46M 4S
11,9,45M 40S
11,10,45M 18S
11,11,45M 18S
11,13,44M 35S
13,13,44M 23S
13,16,44M 10S
15,16,42M 58S
15,19,42M 42S
15,22,42M 17S
17,22,41M 54S
17,24,41M 43S
18,24,40M 45S
19,24,40M 45S
19,26,40M 32S
19,28,40M 15S
19,29,40M 15S
20,29,40M 4S
23,29,38M 42S
23,30,38M 27S
23,32,38M 9S
24,32,37M 59S
25,32,37M 59S
25,34,37M 19S
27,34,37M 7S
27,37,36M 49S
29,37,36M 32S
29,39,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,39,35M 36S
31,41,35M 20S
32,41,35M 8S
33,41,35M 8S
33,43,34M 52S
35,43,34M 42S
35,45,34M 24S
37,45,34M 1S
37,47,33M 44S
39,47,33M 26S
39,49,33M 14S
39,52,32M 41S
41,52,32M 22S
43,52,31M 32S
45,52,31M 7S
45,54,30M 26S
46,54,30M 15S
47,54,30M 15S
49,54,29M 42S
50,54,29M 42S
50,56,28M 42S
50,57,28M 42S
52,57,28M 22S
52,58,27M 46S
52,59,27M 46S
54,59,27M 36S
56,59,27M 2S
58,59,26M 30S
58,61,25M 58S
58,64,24M 58S
59,64,24M 41S
59,66,24M 19S
59,68,24M 1S
62,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,68,23M 24S
66,68,22M 56S
67,68,22M 24S
68,68,22M 24S
68,70,21M 56S
70,70,21M 41S
70,71,20M 16S
70,72,20M 16S
70,73,19M 35S
70,74,19M 35S
70,77,19M 8S
71,77,18M 48S
71,79,18M 23S
73,79,18M 4S
75,79,17M 39S
75,81,17M 19S
75,83,16M 58S
75,84,16M 58S
78,84,16M 43S
78,86,16M 17S
79,86,16M 5S
80,86,16M 5S
82,86,15M 25S
84,86,14M 53S
84,87,14M 36S
84,88,14M 36S
86,88,14M 23S
86,90,14M 7S
86,92,13M 2S
87,92,12M 53S
88,92,12M 53S
88,94,12M 41S
90,94,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,94,11M 36S
92,97,11M 25S
94,97,10M 15S
94,99,9M 38S
96,99,9M 13S
99,99,8M 3S
101,99,7M 22S
101,102,5M 34S
103,102,4M 47S
104,102,4M 17S
106,102,3M 47S
106,105,3M 23S
106,107,2M 51S
108,107,2M 33S
110,107,1M 56S
112,107,1M 30S
112,109,25S
114,109,15S
115,109,6S
116,109,6S
End of 4th quarter,NA,0S
