Washington,Philadelphia,time_rem
0-1,1-0,48M 0S
0,0,47M 43S
2,0,47M 26S
4,0,47M 9S
4,2,46M 46S
4,4,46M 9S
7,4,45M 42S
7,6,45M 30S
7,8,45M 10S
9,8,44M 58S
9,10,44M 46S
11,10,44M 35S
11,12,44M 1S
11,14,43M 36S
14,14,43M 8S
16,14,42M 42S
18,14,41M 46S
20,14,41M 17S
20,16,40M 56S
22,16,40M 42S
24,16,40M 26S
24,18,40M 13S
24,20,39M 43S
26,20,39M 6S
26,22,38M 19S
26,25,37M 35S
26,27,36M 35S
26,30,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,35M 42S
29,33,35M 30S
31,33,34M 42S
32,33,34M 19S
32,35,34M 4S
32,37,33M 40S
32,39,32M 50S
35,39,32M 35S
35,42,31M 35S
37,42,31M 21S
37,44,30M 5S
37,47,29M 40S
37,50,29M 16S
38,50,28M 55S
39,50,28M 55S
39,51,28M 43S
41,51,28M 31S
44,51,28M 5S
47,51,27M 24S
47,53,27M 1S
50,53,26M 47S
53,53,26M 21S
55,53,25M 34S
55,54,24M 53S
55,55,24M 36S
55,56,24M 36S
57,56,24M 30S
57,57,24M 12S
57,58,24M 12S
58,58,24M 2S
59,58,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,58,23M 45S
63,58,21M 50S
66,58,20M 42S
68,58,19M 38S
70,58,18M 40S
70,60,18M 6S
72,60,17M 50S
72,62,17M 41S
73,62,16M 48S
73,64,16M 31S
73,65,16M 12S
74,65,15M 57S
75,65,15M 57S
75,67,15M 20S
75,68,15M 20S
76,68,15M 3S
77,68,15M 3S
77,71,14M 50S
80,71,14M 38S
80,72,13M 44S
80,73,13M 44S
83,73,13M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,76,11M 6S
83,77,10M 25S
83,78,10M 25S
83,79,9M 55S
83,80,9M 55S
85,80,9M 38S
85,82,9M 12S
87,82,9M 4S
87,84,8M 45S
88,84,8M 34S
88,86,8M 9S
88,88,7M 37S
91,88,7M 12S
92,88,6M 41S
93,88,6M 41S
93,90,6M 23S
93,91,5M 53S
93,92,5M 53S
93,93,5M 53S
93,95,5M 18S
95,95,5M 9S
96,95,5M 9S
99,95,4M 2S
99,97,3M 26S
99,99,2M 57S
99,101,2M 28S
101,101,2M 8S
101,103,1M 42S
103,103,1M 28S
103,105,1M 9S
103,106,42S
103,107,42S
105,107,34S
105,109,21S
105,110,15S
105,111,15S
106,111,13S
107,111,13S
107,112,12S
107,113,12S
End of 4th quarter,NA,0S
