Milwaukee,Philadelphia,time_rem
26-14,28-13,48M 0S
0,0,47M 40S
0,2,47M 24S
1,2,46M 59S
2,2,46M 59S
4,2,46M 37S
4,5,46M 32S
4,7,45M 41S
6,7,45M 7S
6,9,44M 54S
8,9,43M 32S
9,9,43M 5S
11,9,42M 47S
11,11,41M 59S
11,14,41M 34S
13,14,40M 8S
13,16,38M 50S
15,16,38M 40S
15,18,37M 58S
15,20,37M 6S
15,23,36M 43S
18,23,36M 30S
18,25,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,27,34M 27S
18,29,34M 11S
19,29,33M 5S
20,29,33M 5S
20,31,32M 29S
20,32,31M 54S
20,33,31M 54S
20,35,31M 20S
22,35,30M 26S
24,35,28M 56S
24,37,28M 39S
24,39,28M 18S
Jump ball: G. Antetokounmpo vs. T. Harris (B. Forbes gains possession),NA,27M 59S
24,42,27M 30S
26,42,26M 50S
26,45,26M 38S
28,45,25M 15S
29,45,25M 0S
31,45,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
31,48,23M 27S
33,48,22M 16S
33,50,21M 57S
33,52,21M 46S
35,52,21M 30S
38,52,20M 28S
38,54,20M 13S
40,54,19M 58S
40,57,19M 45S
43,57,19M 35S
43,59,19M 8S
45,59,18M 54S
48,59,18M 30S
48,62,17M 51S
50,62,17M 24S
50,64,17M 7S
52,64,16M 55S
52,67,16M 29S
54,67,15M 54S
54,69,15M 35S
55,69,15M 7S
57,69,14M 43S
57,70,14M 4S
59,70,12M 48S
59,72,12M 30S
60,72,12M 30S
63,72,12M 26S
63,74,12M 4S
64,74,12M 1S
65,74,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,76,11M 18S
67,76,11M 9S
69,76,10M 13S
71,76,9M 56S
72,76,9M 1S
73,76,9M 1S
75,76,8M 41S
76,76,8M 41S
78,76,8M 18S
78,78,7M 17S
78,79,5M 54S
78,80,5M 54S
80,80,5M 42S
Jump ball: S. Milton vs. K. Middleton (D. Howard gains possession),NA,4M 54S
80,82,2M 23S
83,82,2M 8S
83,84,1M 53S
86,84,1M 36S
88,84,1M 13S
91,84,52S
91,87,40S
91,90,11S
93,90,3S
93,93,1S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: B. Lopez vs. D. Howard (G. Antetokounmpo gains possession),NA,5M 0S
95,93,4M 31S
96,93,4M 4S
96,96,3M 47S
98,96,3M 27S
98,98,3M 8S
100,98,2M 41S
103,98,1M 57S
105,98,1M 12S
105,100,1M 8S
105,102,13S
106,102,12S
107,102,12S
107,105,0S
108,105,0S
109,105,0S
End of 1st overtime,NA,0S
