Portland,Washington,time_rem
11-9,4-13,48M 0S
0,0,47M 47S
0,2,47M 22S
0,3,47M 22S
3,3,46M 55S
6,3,46M 20S
6,5,45M 45S
8,5,45M 37S
8,7,44M 58S
11,7,44M 43S
12,7,44M 7S
13,7,44M 7S
16,7,43M 52S
18,7,43M 17S
19,7,42M 50S
20,7,42M 50S
23,7,42M 16S
26,7,41M 47S
26,9,41M 33S
28,9,40M 37S
28,11,40M 29S
28,12,40M 29S
30,12,40M 12S
32,12,39M 45S
32,15,39M 35S
32,17,39M 14S
34,17,38M 20S
34,19,38M 14S
36,19,37M 52S
38,19,37M 23S
39,19,37M 1S
40,19,37M 1S
40,21,36M 52S
40,22,36M 31S
40,23,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,25,35M 39S
40,26,35M 39S
40,28,35M 17S
43,28,35M 0S
43,31,34M 42S
46,31,34M 34S
46,34,34M 20S
48,34,34M 0S
51,34,33M 33S
52,34,33M 11S
53,34,33M 11S
53,36,33M 2S
55,36,32M 47S
55,37,32M 4S
55,38,32M 4S
55,39,32M 4S
56,39,31M 42S
57,39,31M 42S
57,42,30M 57S
57,45,30M 21S
59,45,30M 2S
59,47,29M 49S
59,49,29M 28S
59,52,28M 56S
61,52,28M 31S
61,54,28M 16S
63,54,28M 7S
63,56,27M 27S
65,56,27M 13S
65,58,27M 2S
66,58,26M 40S
67,58,26M 40S
68,58,26M 40S
68,60,26M 13S
68,62,25M 36S
69,62,25M 21S
70,62,25M 5S
71,62,25M 5S
71,63,24M 55S
72,63,24M 34S
73,63,24M 34S
75,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
78,63,23M 45S
78,66,23M 24S
81,66,23M 1S
81,68,22M 46S
81,71,22M 22S
84,71,21M 58S
84,72,21M 17S
86,72,20M 59S
88,72,20M 40S
88,74,20M 27S
88,76,19M 18S
88,78,18M 47S
88,79,18M 47S
88,81,18M 19S
91,81,18M 2S
94,81,17M 24S
97,81,17M 3S
Jump ball: E. Freedom vs. M. Wagner (R. Covington gains possession),NA,16M 9S
100,81,15M 46S
100,83,15M 22S
103,83,14M 4S
103,84,13M 55S
105,84,13M 31S
105,86,13M 20S
106,86,13M 3S
106,89,12M 43S
106,90,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
106,93,11M 2S
109,93,10M 36S
109,95,10M 21S
109,98,9M 54S
112,98,9M 33S
112,100,8M 15S
114,100,7M 56S
114,102,7M 45S
114,104,7M 20S
116,104,6M 21S
116,107,6M 10S
118,107,5M 49S
118,110,5M 40S
120,110,5M 20S
120,113,5M 8S
121,113,4M 56S
122,113,4M 56S
122,115,4M 41S
122,118,4M 5S
125,118,3M 16S
127,118,2M 12S
128,118,1M 45S
129,118,1M 45S
132,118,1M 12S
132,121,59S
End of 4th quarter,NA,0S
