Miami,Denver,time_rem
28-27,35-20,48M 0S
0,0,47M 39S
0,2,47M 17S
2,2,47M 2S
2,5,46M 48S
4,5,46M 11S
5,5,45M 47S
6,5,45M 47S
8,5,45M 12S
8,7,44M 53S
10,7,44M 47S
10,9,44M 21S
10,11,43M 51S
11,11,43M 39S
12,11,43M 39S
15,11,43M 14S
15,13,42M 57S
17,13,42M 39S
19,13,42M 10S
19,15,41M 55S
19,17,41M 6S
19,18,40M 39S
19,20,39M 15S
20,20,39M 0S
21,20,39M 0S
21,22,38M 48S
23,22,38M 32S
23,24,38M 16S
26,24,37M 52S
26,26,37M 32S
29,26,37M 10S
31,26,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,35M 33S
31,32,34M 40S
33,32,33M 31S
34,32,33M 31S
34,35,33M 17S
37,35,33M 6S
39,35,32M 51S
39,37,32M 38S
39,39,31M 48S
39,42,30M 30S
39,44,29M 45S
39,46,29M 7S
41,46,28M 56S
41,48,28M 44S
41,49,28M 3S
41,50,28M 3S
41,52,27M 28S
44,52,27M 11S
44,54,26M 51S
44,56,26M 13S
46,56,25M 7S
46,58,24M 55S
46,59,24M 25S
46,60,24M 25S
49,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,60,23M 40S
52,63,23M 23S
55,63,23M 2S
55,65,22M 34S
57,65,22M 17S
57,68,21M 56S
59,68,21M 35S
59,70,21M 16S
59,71,21M 16S
62,71,21M 7S
63,71,20M 39S
64,71,20M 39S
64,73,20M 15S
66,73,19M 44S
66,74,19M 23S
66,77,19M 2S
68,77,18M 43S
68,79,18M 28S
68,81,17M 58S
70,81,17M 39S
70,83,16M 40S
70,85,16M 9S
73,85,15M 53S
73,88,15M 38S
75,88,15M 23S
77,88,14M 41S
77,91,14M 20S
77,93,13M 53S
78,93,13M 9S
79,93,13M 9S
79,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,96,11M 42S
82,99,11M 18S
82,102,10M 29S
83,102,9M 38S
84,102,9M 38S
84,105,9M 24S
87,105,9M 6S
87,108,8M 48S
89,108,7M 43S
89,110,7M 22S
89,111,7M 22S
90,111,7M 9S
93,111,6M 42S
93,114,5M 45S
95,114,4M 58S
95,117,4M 41S
97,117,4M 26S
98,117,3M 36S
100,117,2M 36S
102,117,1M 59S
102,119,1M 46S
104,119,1M 35S
104,120,1M 27S
104,121,1M 27S
106,121,55S
106,123,39S
End of 4th quarter,NA,0S
