Boston,Portland,time_rem
29-26,31-23,48M 0S
2,0,47M 48S
2,3,47M 30S
4,3,47M 12S
4,4,46M 52S
4,5,46M 52S
6,5,46M 42S
6,8,46M 25S
9,8,45M 55S
9,11,45M 28S
12,11,44M 43S
14,11,44M 23S
14,13,44M 2S
14,16,43M 37S
14,18,43M 9S
14,21,42M 57S
14,23,41M 37S
17,23,40M 46S
18,23,39M 56S
18,25,39M 42S
19,25,39M 32S
20,25,39M 32S
22,25,39M 1S
22,28,38M 45S
25,28,38M 26S
25,30,38M 15S
26,30,37M 41S
27,30,37M 41S
28,30,37M 41S
28,31,37M 30S
28,32,37M 30S
28,34,36M 37S
28,37,36M 23S
30,37,36M 4S
30,38,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,38,35M 27S
33,38,34M 59S
34,38,34M 59S
34,41,34M 46S
35,41,34M 28S
37,41,32M 53S
37,42,32M 43S
37,43,32M 43S
37,45,31M 44S
39,45,31M 33S
39,47,29M 47S
42,47,29M 33S
44,47,29M 7S
47,47,28M 43S
49,47,28M 14S
49,49,27M 57S
52,49,27M 3S
55,49,26M 41S
55,51,26M 23S
57,51,25M 47S
57,52,25M 38S
57,53,25M 38S
57,55,25M 10S
57,57,24M 43S
57,60,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,62,23M 15S
57,64,22M 43S
59,64,22M 25S
60,64,21M 52S
61,64,21M 52S
63,64,21M 25S
65,64,20M 59S
65,66,20M 38S
68,66,20M 24S
68,68,20M 9S
68,71,19M 35S
70,71,19M 11S
70,74,18M 54S
70,76,18M 27S
72,76,18M 11S
75,76,17M 39S
75,78,17M 27S
76,78,16M 48S
77,78,16M 48S
79,78,16M 24S
79,80,16M 9S
82,80,15M 44S
82,82,15M 21S
82,84,14M 54S
82,85,14M 54S
84,85,14M 43S
86,85,13M 47S
86,87,13M 25S
88,87,13M 7S
90,87,12M 48S
91,87,12M 33S
92,87,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,87,11M 45S
94,89,11M 26S
96,89,10M 24S
96,91,9M 55S
99,91,9M 7S
99,93,8M 48S
99,96,8M 22S
101,96,8M 10S
104,96,6M 25S
104,99,5M 56S
107,99,5M 4S
107,102,4M 27S
107,104,3M 16S
107,105,2M 49S
107,106,2M 49S
109,106,2M 35S
109,109,2M 3S
111,109,1M 42S
111,112,1M 1S
112,112,40S
113,112,40S
116,112,8S
116,115,5S
End of 4th quarter,NA,0S
