New York,Sacramento,time_rem
8-9,6-10,48M 0S
0,2,47M 39S
2,2,47M 28S
4,2,46M 58S
4,5,46M 42S
6,5,46M 21S
6,7,45M 25S
6,8,45M 25S
8,8,44M 58S
9,8,44M 58S
9,10,44M 49S
11,10,44M 28S
11,13,43M 40S
11,16,42M 42S
13,16,42M 20S
13,19,41M 57S
13,21,41M 3S
13,23,40M 39S
15,23,40M 22S
16,23,39M 41S
17,23,39M 41S
17,25,38M 33S
20,25,38M 16S
22,25,37M 26S
24,25,36M 28S
25,25,36M 1S
26,25,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,25,35M 46S
29,25,35M 46S
29,26,35M 30S
29,28,34M 58S
29,30,33M 51S
32,30,33M 39S
34,30,33M 9S
34,32,32M 55S
36,32,32M 31S
36,34,32M 19S
36,36,31M 42S
38,36,31M 19S
40,36,30M 49S
40,37,30M 11S
40,38,30M 11S
42,38,29M 23S
43,38,28M 51S
44,38,28M 51S
44,39,28M 19S
44,41,27M 32S
44,43,26M 46S
47,43,26M 29S
47,46,26M 15S
49,46,26M 4S
50,46,26M 4S
52,46,25M 42S
52,49,25M 23S
54,49,24M 49S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,49,23M 46S
56,51,23M 26S
56,54,22M 56S
58,54,22M 18S
59,54,22M 18S
59,56,22M 6S
61,56,21M 52S
61,58,21M 34S
63,58,20M 45S
63,59,20M 17S
63,61,19M 15S
65,61,18M 51S
65,63,18M 32S
65,65,18M 2S
67,65,17M 47S
67,68,17M 29S
67,70,16M 52S
69,70,16M 33S
69,71,15M 45S
69,72,15M 45S
69,74,15M 6S
Jump ball: N. Noel vs. R. Holmes (I. Quickley gains possession),NA,14M 32S
69,76,13M 21S
70,76,12M 43S
72,76,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,79,11M 41S
Jump ball: C. Metu vs. A. Burks (C. Joseph gains possession),NA,11M 10S
74,79,9M 26S
74,81,9M 14S
74,84,8M 53S
74,86,8M 17S
77,86,8M 1S
79,86,6M 53S
79,89,6M 1S
82,89,5M 47S
84,89,5M 18S
85,89,5M 18S
86,89,4M 30S
87,89,4M 30S
87,90,3M 52S
87,91,3M 52S
87,92,3M 20S
87,93,3M 20S
87,96,2M 35S
89,96,2M 0S
89,98,1M 44S
89,100,1M 26S
90,100,1M 20S
90,101,1M 1S
91,101,55S
92,101,55S
94,101,24S
94,102,21S
94,103,21S
End of 4th quarter,NA,0S
