Boston,Milwaukee,time_rem
22-23,29-15,48M 0S
0,0,47M 46S
1,0,47M 46S
2,0,47M 46S
3,0,47M 46S
5,0,47M 18S
5,3,47M 9S
7,3,46M 58S
7,6,46M 27S
9,6,46M 8S
12,6,45M 18S
12,8,44M 47S
15,8,44M 29S
15,10,43M 54S
15,12,43M 23S
15,13,43M 23S
18,13,42M 51S
20,13,41M 48S
20,16,41M 8S
23,16,40M 43S
23,19,39M 31S
23,21,39M 1S
23,22,38M 8S
23,23,38M 8S
23,24,38M 8S
26,24,38M 0S
28,24,37M 38S
28,26,37M 23S
30,26,37M 9S
31,26,36M 37S
32,26,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,26,35M 31S
Jump ball: D. DiVincenzo vs. P. Pritchard (B. Forbes gains possession),NA,35M 22S
34,29,35M 2S
34,31,34M 28S
34,32,34M 13S
34,33,34M 13S
36,33,33M 55S
38,33,33M 2S
41,33,32M 48S
41,35,31M 50S
41,38,31M 25S
44,38,31M 2S
44,41,30M 37S
46,41,30M 16S
46,43,30M 2S
48,43,29M 54S
48,45,29M 5S
50,45,28M 32S
50,47,28M 21S
51,47,28M 0S
52,47,28M 0S
55,47,26M 50S
55,49,26M 32S
55,52,26M 13S
55,55,25M 44S
58,55,25M 15S
60,55,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 44S
63,57,23M 16S
66,57,22M 42S
66,60,22M 26S
69,60,22M 11S
69,63,21M 51S
71,63,21M 29S
72,63,21M 29S
74,63,20M 56S
74,64,20M 51S
77,64,20M 43S
80,64,20M 24S
82,64,19M 56S
82,67,19M 43S
85,67,19M 25S
85,70,18M 26S
87,70,18M 4S
87,73,17M 59S
87,75,17M 33S
90,75,16M 58S
90,77,16M 48S
91,77,16M 33S
92,77,16M 33S
93,77,16M 33S
93,79,15M 59S
96,79,15M 35S
96,81,14M 45S
98,81,14M 19S
101,81,13M 8S
101,84,12M 52S
101,87,12M 28S
103,87,12M 4S
103,89,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,89,11M 38S
107,89,11M 6S
107,92,10M 48S
110,92,10M 32S
110,94,9M 35S
111,94,8M 44S
112,94,8M 44S
112,97,8M 30S
115,97,7M 45S
118,97,6M 41S
118,99,6M 25S
118,101,5M 55S
118,103,5M 22S
121,103,4M 47S
121,106,3M 5S
121,108,2M 0S
121,110,1M 45S
121,112,1M 22S
122,112,35S
122,114,25S
End of 4th quarter,NA,0S
