Indiana,Memphis,time_rem
25-27,26-25,48M 0S
0,0,47M 35S
2,0,47M 17S
2,2,46M 56S
4,2,46M 21S
4,4,45M 55S
5,4,45M 52S
6,4,45M 52S
8,4,45M 10S
10,4,44M 47S
10,6,44M 32S
12,6,44M 11S
12,8,43M 52S
14,8,43M 37S
14,10,43M 22S
17,10,43M 13S
20,10,42M 51S
22,10,42M 31S
22,12,42M 20S
24,12,42M 10S
26,12,41M 45S
26,14,41M 19S
28,14,41M 7S
28,16,40M 54S
28,17,40M 54S
31,17,40M 47S
33,17,40M 27S
33,19,40M 11S
33,21,39M 36S
35,21,39M 26S
35,24,39M 6S
37,24,38M 58S
37,26,38M 33S
38,26,38M 12S
39,26,38M 12S
39,28,37M 57S
39,29,37M 28S
39,30,37M 28S
41,30,36M 56S
43,30,36M 32S
43,31,36M 11S
45,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
45,33,35M 41S
45,36,34M 46S
47,36,34M 22S
49,36,34M 5S
49,38,33M 48S
51,38,33M 30S
53,38,33M 9S
55,38,32M 46S
55,40,32M 24S
57,40,32M 4S
57,42,31M 44S
57,44,30M 32S
57,46,30M 4S
57,48,29M 37S
60,48,29M 20S
60,50,29M 6S
60,52,28M 15S
60,54,27M 45S
62,54,27M 31S
62,57,26M 49S
62,59,26M 9S
64,59,25M 55S
65,59,25M 31S
66,59,25M 31S
66,61,25M 14S
69,61,25M 3S
69,63,24M 46S
71,63,24M 35S
74,63,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,66,23M 39S
74,68,22M 40S
76,68,22M 26S
78,68,22M 4S
78,69,21M 17S
78,71,21M 4S
80,71,20M 38S
80,73,20M 27S
83,73,20M 15S
83,75,20M 2S
86,75,19M 43S
88,75,19M 3S
88,77,18M 51S
90,77,18M 26S
90,78,18M 18S
91,78,18M 9S
92,78,18M 9S
92,79,17M 38S
95,79,17M 22S
95,81,17M 0S
95,83,16M 37S
98,83,16M 20S
101,83,15M 48S
101,85,15M 30S
101,88,15M 9S
104,88,14M 56S
104,90,14M 43S
104,92,13M 51S
105,92,13M 35S
105,95,13M 20S
105,97,12M 56S
106,97,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
108,97,11M 39S
109,97,11M 16S
110,97,11M 16S
110,99,11M 0S
110,101,10M 13S
110,103,9M 55S
112,103,9M 42S
112,105,9M 16S
114,105,8M 54S
114,107,8M 14S
114,108,7M 48S
114,109,7M 48S
114,111,7M 3S
117,111,6M 22S
117,113,5M 57S
117,115,5M 27S
119,115,5M 5S
120,115,5M 5S
120,117,3M 34S
122,117,3M 26S
124,117,2M 54S
124,119,2M 40S
124,120,2M 19S
124,121,2M 19S
124,122,1M 46S
124,123,1M 46S
126,123,1M 20S
126,125,1M 6S
128,125,31S
130,125,22S
131,125,2S
132,125,2S
End of 4th quarter,NA,0S
