Indiana,Minnesota,time_rem
15-14,7-22,48M 0S
0,2,47M 41S
2,2,47M 19S
4,2,46M 50S
7,2,45M 55S
7,5,45M 39S
7,7,44M 48S
9,7,44M 36S
9,9,44M 11S
12,9,43M 26S
14,9,43M 3S
14,12,42M 39S
16,12,42M 18S
16,14,41M 33S
16,16,41M 12S
16,17,41M 12S
19,17,41M 0S
21,17,40M 31S
24,17,40M 3S
25,17,40M 3S
25,20,39M 53S
27,20,39M 16S
27,22,38M 51S
29,22,38M 42S
30,22,38M 42S
30,24,38M 25S
31,24,38M 20S
32,24,38M 20S
32,25,38M 4S
32,26,38M 4S
32,28,37M 43S
34,28,37M 35S
36,28,37M 5S
39,28,36M 41S
39,30,36M 26S
39,33,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,35,35M 37S
40,35,35M 28S
40,37,35M 13S
42,37,34M 59S
42,40,34M 50S
44,40,34M 27S
44,42,34M 11S
44,44,33M 55S
44,47,33M 27S
46,47,33M 16S
46,50,32M 16S
48,50,32M 2S
49,50,31M 40S
49,53,31M 30S
49,54,30M 46S
49,55,30M 46S
51,55,30M 25S
51,56,30M 12S
51,57,30M 12S
51,58,30M 12S
53,58,29M 31S
53,60,29M 14S
55,60,29M 4S
56,60,29M 4S
58,60,28M 43S
Jump ball: K. Towns vs. D. Sabonis (R. Rubio gains possession),NA,28M 30S
59,60,28M 5S
60,60,28M 5S
60,61,27M 52S
60,62,27M 52S
60,63,27M 17S
60,64,27M 17S
62,64,27M 3S
63,64,27M 3S
63,65,26M 51S
63,66,26M 51S
64,66,26M 30S
65,66,26M 30S
67,66,26M 9S
67,68,25M 50S
67,70,25M 23S
67,73,24M 52S
69,73,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,75,23M 21S
69,76,22M 42S
69,77,22M 42S
71,77,22M 24S
71,79,22M 12S
73,79,21M 57S
73,80,21M 37S
73,81,21M 37S
75,81,20M 41S
75,84,20M 2S
77,84,19M 33S
77,85,19M 15S
79,85,18M 53S
79,88,18M 38S
81,88,16M 9S
Jump ball: K. Towns vs. M. Brogdon (J. McDaniels gains possession),NA,15M 49S
81,90,15M 41S
84,90,15M 6S
86,90,14M 25S
86,92,13M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,92,11M 33S
88,94,11M 10S
88,96,10M 43S
88,98,9M 45S
91,98,9M 12S
93,98,8M 35S
93,99,7M 19S
93,100,7M 19S
94,100,7M 12S
95,100,7M 12S
98,100,6M 42S
99,100,6M 7S
102,100,6M 3S
102,102,5M 44S
103,102,5M 11S
104,102,4M 58S
105,102,4M 58S
107,102,4M 32S
107,103,4M 6S
107,104,4M 6S
107,106,3M 41S
109,106,3M 31S
109,109,3M 7S
109,111,2M 49S
112,111,2M 39S
112,114,2M 22S
114,114,2M 8S
114,116,1M 54S
Jump ball: K. Towns vs. D. Sabonis (M. Beasley gains possession),NA,1M 34S
114,119,1M 21S
116,119,1M 15S
116,121,58S
119,121,46S
120,121,11S
121,121,11S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Sabonis vs. K. Towns (R. Rubio gains possession),NA,5M 0S
124,121,4M 23S
126,121,3M 45S
126,124,2M 42S
127,124,2M 17S
129,124,1M 10S
129,126,1M 5S
132,126,9S
132,128,7S
133,128,5S
134,128,5S
End of 1st overtime,NA,0S
