LA Lakers,Phoenix,time_rem
0-1,1-0,48M 0S
0,0,47M 34S
2,0,46M 40S
2,3,46M 16S
3,3,45M 59S
5,3,45M 31S
5,5,45M 19S
7,5,45M 7S
7,7,44M 44S
9,7,44M 6S
9,10,43M 59S
12,10,43M 45S
15,10,43M 25S
15,12,43M 7S
15,15,42M 47S
17,15,42M 34S
17,17,41M 38S
17,19,41M 23S
17,21,40M 49S
17,23,40M 20S
17,25,39M 46S
18,25,39M 34S
19,25,39M 34S
19,27,38M 48S
21,27,38M 32S
21,30,37M 48S
23,30,37M 1S
23,32,36M 42S
25,32,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,34,35M 40S
27,34,35M 4S
27,36,34M 36S
27,38,34M 8S
29,38,33M 24S
30,38,32M 53S
31,38,32M 53S
33,38,32M 1S
34,38,32M 1S
35,38,31M 34S
35,40,31M 24S
35,42,29M 53S
35,44,29M 32S
36,44,28M 46S
37,44,28M 46S
37,46,28M 31S
38,46,28M 19S
38,48,28M 3S
38,50,27M 42S
40,50,27M 16S
41,50,26M 53S
43,50,25M 56S
43,53,25M 36S
45,53,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,53,23M 16S
46,56,23M 0S
48,56,22M 23S
48,59,21M 59S
51,59,21M 40S
51,61,21M 22S
53,61,21M 8S
53,63,20M 15S
53,65,20M 0S
53,66,19M 40S
53,67,19M 40S
56,67,19M 17S
56,69,18M 25S
56,71,18M 4S
Jump ball: A. Drummond vs. D. Booker (A. Davis gains possession),NA,17M 34S
58,71,17M 28S
59,71,17M 5S
60,71,17M 5S
Jump ball: L. James vs. C. Johnson (D. Schröder gains possession),NA,16M 30S
62,71,16M 19S
64,71,15M 14S
64,74,14M 49S
66,74,14M 30S
66,75,13M 55S
66,76,13M 55S
66,77,13M 35S
66,78,13M 35S
66,79,13M 17S
68,79,13M 0S
68,80,12M 11S
68,81,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,83,11M 45S
70,83,11M 23S
70,86,11M 4S
72,86,10M 42S
74,86,9M 47S
75,86,9M 9S
77,86,9M 2S
Jump ball: D. Ayton vs. L. James (M. Bridges gains possession),NA,8M 31S
77,88,8M 7S
77,90,7M 34S
79,90,7M 22S
80,90,7M 22S
83,90,6M 41S
83,92,6M 16S
84,92,5M 22S
84,94,4M 57S
84,96,4M 1S
Jump ball: L. James vs. J. Crowder (D. Schröder gains possession),NA,3M 42S
84,97,3M 23S
87,97,3M 6S
87,99,1M 35S
90,99,6S
End of 4th quarter,NA,0S
