Miami,Indiana,time_rem
24-24,21-25,48M 0S
0,0,47M 48S
0,3,47M 25S
3,3,47M 13S
3,4,46M 52S
6,4,46M 41S
6,6,46M 27S
6,8,45M 57S
8,8,45M 49S
8,10,45M 30S
10,10,44M 40S
13,10,43M 31S
13,12,43M 12S
15,12,42M 52S
15,14,42M 41S
16,14,41M 47S
17,14,41M 47S
17,17,41M 35S
17,19,40M 48S
19,19,39M 25S
19,22,39M 7S
19,25,37M 19S
21,25,37M 2S
21,28,36M 45S
23,28,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,30,35M 34S
23,32,34M 39S
23,35,34M 9S
24,35,33M 53S
25,35,33M 53S
28,35,32M 54S
28,37,31M 49S
28,39,31M 17S
29,39,30M 42S
30,39,30M 42S
30,42,29M 57S
30,44,28M 48S
32,44,28M 19S
32,45,26M 30S
35,45,26M 22S
36,45,26M 5S
39,45,25M 16S
40,45,24M 56S
41,45,24M 56S
42,45,24M 29S
43,45,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,47,23M 12S
43,49,22M 48S
43,50,21M 53S
43,51,21M 53S
43,54,21M 24S
43,55,21M 5S
43,56,21M 5S
43,58,20M 50S
45,58,20M 38S
48,58,20M 9S
50,58,19M 15S
52,58,18M 51S
54,58,17M 48S
54,60,17M 18S
56,60,16M 24S
58,60,15M 39S
58,62,14M 59S
58,63,14M 26S
60,63,13M 39S
60,65,13M 27S
63,65,13M 9S
63,67,12M 57S
65,67,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,69,11M 38S
67,69,11M 18S
67,70,10M 56S
68,70,10M 34S
68,73,10M 24S
70,73,9M 59S
70,76,9M 44S
71,76,9M 29S
72,76,9M 29S
72,78,9M 15S
73,78,9M 7S
76,78,8M 14S
79,78,7M 44S
79,80,7M 23S
81,80,6M 53S
81,82,6M 49S
83,82,5M 50S
85,82,5M 30S
87,82,4M 21S
89,82,1M 6S
89,84,41S
90,84,6S
90,87,2S
91,87,0S
92,87,0S
End of 4th quarter,NA,0S
