New York,Toronto,time_rem
2-3,1-3,48M 0S
0,3,47M 39S
0,5,47M 2S
2,5,46M 43S
2,7,45M 33S
3,7,45M 16S
4,7,45M 16S
4,10,44M 40S
Jump ball: N. Powell vs. E. Payton (K. Lowry gains possession),NA,42M 29S
4,11,42M 9S
4,13,41M 46S
4,14,41M 46S
6,14,41M 25S
6,17,41M 10S
8,17,40M 52S
8,18,39M 34S
10,18,39M 19S
13,18,38M 2S
13,19,37M 52S
15,19,37M 35S
18,19,37M 1S
18,22,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,22,35M 17S
20,24,35M 8S
20,26,34M 39S
20,27,33M 56S
22,27,33M 16S
23,27,33M 16S
25,27,32M 43S
25,30,32M 25S
27,30,32M 2S
28,30,31M 38S
29,30,31M 38S
29,32,30M 27S
31,32,30M 8S
31,35,29M 19S
33,35,28M 33S
33,37,28M 18S
35,37,28M 8S
35,40,27M 54S
37,40,26M 53S
38,40,26M 14S
39,40,26M 14S
41,40,25M 29S
42,40,25M 29S
42,42,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,42,23M 49S
46,42,23M 21S
46,45,22M 41S
48,45,22M 18S
50,45,21M 21S
52,45,20M 41S
52,48,20M 24S
54,48,19M 4S
54,49,18M 45S
54,50,18M 45S
54,52,17M 56S
54,55,17M 23S
56,55,17M 0S
56,58,16M 48S
58,58,16M 33S
58,61,16M 18S
60,61,15M 50S
60,63,15M 34S
60,64,15M 34S
60,66,14M 49S
60,67,14M 8S
60,68,14M 8S
62,68,13M 57S
64,68,13M 30S
64,71,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,71,11M 36S
66,73,11M 21S
69,73,10M 27S
69,75,10M 12S
69,76,9M 46S
71,76,9M 27S
73,76,8M 44S
73,79,7M 34S
73,82,6M 59S
73,84,5M 44S
73,87,5M 37S
74,87,5M 26S
74,89,5M 3S
74,90,4M 39S
74,91,4M 39S
75,91,3M 29S
75,92,3M 24S
75,93,3M 24S
75,95,3M 1S
76,95,2M 48S
77,95,2M 48S
78,95,2M 13S
78,98,1M 34S
80,98,1M 7S
81,98,1M 7S
81,100,54S
82,100,45S
83,100,45S
End of 4th quarter,NA,0S
