Milwaukee,Portland,time_rem
31-17,29-19,48M 0S
0,0,47M 36S
0,3,47M 20S
2,3,46M 50S
2,6,46M 30S
5,6,46M 13S
6,6,46M 0S
8,6,45M 39S
8,7,45M 31S
10,7,45M 6S
13,7,44M 47S
14,7,44M 21S
15,7,44M 21S
17,7,43M 40S
19,7,43M 14S
19,10,43M 5S
21,10,42M 50S
23,10,41M 57S
Jump ball: G. Antetokounmpo vs. N. Powell (P. Connaughton gains possession),NA,41M 36S
23,12,41M 5S
23,13,40M 44S
23,14,40M 44S
25,14,40M 32S
25,17,39M 15S
27,17,38M 5S
29,17,37M 38S
29,18,37M 26S
29,19,37M 26S
31,19,36M 23S
31,20,36M 6S
31,21,36M 6S
34,21,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,21,35M 51S
35,23,35M 36S
37,23,35M 24S
37,26,35M 10S
39,26,34M 51S
39,29,34M 0S
39,32,33M 34S
41,32,33M 16S
42,32,32M 58S
43,32,32M 58S
43,34,32M 41S
45,34,31M 56S
45,35,30M 14S
45,37,30M 3S
48,37,29M 52S
51,37,29M 25S
51,40,28M 55S
54,40,28M 38S
54,41,28M 20S
54,42,28M 20S
54,44,27M 31S
56,44,26M 21S
56,47,26M 7S
57,47,25M 53S
58,47,25M 53S
60,47,25M 27S
60,50,25M 5S
60,53,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,55,23M 16S
60,58,22M 57S
62,58,22M 43S
63,58,22M 43S
63,61,22M 26S
65,61,22M 16S
67,61,22M 1S
68,61,22M 1S
69,61,21M 14S
70,61,21M 14S
70,63,21M 2S
72,63,20M 43S
72,66,20M 22S
75,66,20M 5S
75,68,19M 52S
77,68,19M 21S
79,68,18M 54S
82,68,18M 26S
82,70,18M 7S
84,70,16M 32S
86,70,15M 29S
86,72,15M 17S
88,72,15M 1S
90,72,13M 41S
90,73,13M 28S
93,73,13M 15S
94,73,12M 49S
95,73,12M 49S
97,73,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,76,11M 36S
97,79,11M 9S
99,79,10M 57S
101,79,10M 4S
101,81,9M 49S
101,83,9M 23S
104,83,9M 11S
104,86,8M 32S
106,86,8M 6S
106,89,7M 44S
108,89,7M 28S
108,90,7M 5S
108,91,7M 5S
110,91,6M 46S
110,92,6M 36S
110,95,6M 13S
110,97,5M 20S
112,97,5M 5S
112,100,4M 47S
113,100,4M 18S
114,100,4M 18S
116,100,3M 44S
117,100,3M 44S
120,100,3M 14S
122,100,2M 29S
122,101,2M 18S
122,102,2M 18S
122,105,1M 58S
122,107,1M 43S
125,107,1M 14S
125,109,30S
127,109,20S
End of 4th quarter,NA,0S
