Dallas,LA Clippers,time_rem
3-2,2-3,48M 0S
0,0,47M 40S
1,0,47M 40S
2,0,47M 40S
4,0,46M 10S
7,0,45M 45S
7,3,45M 20S
9,3,45M 5S
9,6,44M 24S
9,9,43M 19S
11,9,43M 8S
14,9,42M 36S
14,12,42M 4S
16,12,41M 49S
16,15,41M 36S
16,17,41M 14S
18,17,40M 53S
21,17,40M 29S
21,19,40M 14S
24,19,39M 38S
24,20,39M 38S
25,20,39M 38S
28,20,39M 24S
28,21,39M 8S
31,21,38M 39S
31,22,38M 16S
31,23,38M 16S
32,23,38M 1S
33,23,38M 1S
33,25,37M 36S
33,27,36M 40S
33,28,36M 11S
35,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,29,35M 40S
35,30,35M 40S
35,32,34M 41S
35,33,34M 9S
35,34,34M 9S
37,34,33M 53S
37,36,33M 4S
40,36,32M 48S
40,37,32M 3S
40,38,32M 3S
42,38,31M 47S
42,40,31M 32S
44,40,31M 5S
44,42,30M 50S
46,42,30M 32S
46,44,30M 8S
46,46,29M 32S
47,46,29M 15S
48,46,29M 15S
49,46,28M 24S
49,47,28M 6S
49,48,28M 6S
49,51,26M 40S
51,51,26M 19S
51,54,26M 3S
54,54,25M 36S
56,54,24M 54S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,23M 17S
58,54,23M 17S
58,56,23M 4S
59,56,22M 51S
59,59,22M 40S
59,62,22M 1S
62,62,21M 41S
62,65,20M 36S
62,67,20M 7S
Jump ball: B. Marjanović vs. N. Batum (L. Dončić gains possession),NA,19M 35S
64,67,19M 21S
64,70,19M 1S
67,70,18M 50S
67,72,17M 7S
69,72,16M 50S
71,72,16M 22S
73,72,16M 5S
73,75,15M 47S
76,75,15M 17S
78,75,14M 39S
80,75,14M 22S
82,75,13M 51S
84,75,13M 25S
87,75,12M 52S
88,75,12M 30S
89,75,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,75,11M 42S
91,77,11M 27S
91,79,10M 32S
91,80,9M 41S
91,81,9M 41S
93,81,9M 22S
93,83,8M 57S
93,84,7M 55S
93,85,7M 55S
93,87,6M 34S
93,88,5M 51S
93,89,5M 51S
95,89,5M 34S
95,91,4M 13S
98,91,2M 50S
101,91,2M 13S
101,94,1M 54S
101,97,1M 19S
101,99,39S
101,100,39S
102,100,8S
103,100,8S
104,100,4S
105,100,4S
End of 4th quarter,NA,0S
