Minnesota,Charlotte,time_rem
6-20,13-14,48M 0S
2,0,47M 46S
4,0,47M 32S
4,2,47M 20S
7,2,47M 5S
7,4,46M 40S
7,6,45M 32S
7,7,45M 32S
7,9,44M 42S
9,9,44M 17S
9,11,43M 27S
9,13,43M 0S
9,15,42M 27S
12,15,41M 49S
12,17,41M 31S
15,17,40M 30S
15,19,40M 7S
15,21,39M 9S
18,21,38M 53S
18,23,38M 40S
20,23,38M 23S
22,23,38M 4S
24,23,37M 43S
27,23,37M 14S
27,25,36M 53S
30,25,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 18S
33,28,34M 35S
33,30,34M 21S
35,30,33M 51S
35,33,33M 37S
37,33,33M 17S
37,36,32M 58S
37,38,32M 6S
37,39,32M 6S
39,39,31M 19S
39,41,31M 10S
39,42,31M 10S
41,42,30M 56S
42,42,29M 50S
Jump ball: K. Towns vs. B. Biyombo (J. Nowell gains possession),NA,29M 50S
42,45,28M 54S
42,46,28M 24S
42,47,28M 24S
44,47,27M 50S
44,50,27M 36S
46,50,27M 17S
46,52,27M 7S
49,52,26M 47S
49,54,26M 36S
51,54,26M 28S
52,54,26M 2S
53,54,26M 2S
53,57,25M 20S
56,57,24M 59S
56,60,24M 40S
59,60,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,60,23M 9S
62,62,22M 47S
64,62,22M 35S
64,65,22M 16S
66,65,22M 2S
66,67,21M 45S
66,69,21M 7S
69,69,20M 14S
69,71,20M 5S
70,71,19M 50S
71,71,19M 50S
71,72,19M 36S
71,73,19M 36S
71,74,19M 36S
73,74,19M 14S
75,74,18M 52S
75,77,18M 34S
77,77,17M 48S
77,79,17M 41S
77,80,17M 41S
77,82,17M 7S
80,82,16M 25S
80,84,15M 10S
82,84,14M 49S
83,84,14M 49S
83,86,14M 29S
83,87,12M 16S
83,88,12M 16S
85,88,12M 5S
85,90,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,90,11M 46S
89,90,11M 29S
91,90,11M 1S
91,92,10M 45S
91,94,10M 21S
92,94,10M 4S
95,94,9M 7S
95,96,8M 53S
95,98,8M 23S
95,100,8M 7S
96,100,7M 18S
98,100,5M 59S
98,103,5M 38S
100,103,5M 11S
100,106,4M 27S
102,106,3M 9S
105,106,2M 38S
105,109,1M 51S
108,109,1M 38S
108,112,1M 26S
108,113,25S
108,114,25S
108,115,19S
108,116,19S
110,116,12S
110,117,10S
110,118,10S
112,118,6S
114,118,3S
114,119,2S
114,120,2S
End of 4th quarter,NA,0S
