Phoenix,Memphis,time_rem
7-5,7-6,48M 0S
2,0,47M 42S
3,0,45M 25S
3,2,45M 11S
3,4,44M 28S
5,4,43M 51S
7,4,43M 34S
9,4,42M 37S
9,6,42M 5S
12,6,41M 47S
12,8,41M 24S
15,8,40M 35S
18,8,40M 9S
18,10,39M 21S
18,11,38M 57S
18,14,38M 9S
18,16,37M 39S
21,16,37M 23S
24,16,36M 46S
24,18,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,18,35M 37S
26,20,35M 21S
28,20,35M 10S
30,20,34M 25S
30,22,34M 14S
32,22,33M 8S
32,24,33M 1S
33,24,32M 44S
34,24,32M 44S
34,26,32M 36S
34,28,32M 10S
35,28,31M 46S
35,29,31M 36S
35,30,31M 36S
35,33,31M 11S
38,33,30M 50S
40,33,30M 2S
40,35,29M 46S
42,35,29M 28S
42,37,28M 35S
42,38,28M 35S
43,38,28M 6S
43,41,27M 50S
43,44,27M 17S
43,46,26M 40S
46,46,25M 51S
46,49,25M 29S
48,49,25M 4S
48,52,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,52,23M 13S
50,55,22M 33S
50,57,22M 2S
50,58,20M 25S
53,58,20M 6S
53,61,19M 50S
56,61,19M 40S
56,63,19M 18S
59,63,18M 54S
59,65,18M 42S
61,65,18M 33S
61,67,17M 57S
63,67,17M 39S
63,70,17M 16S
66,70,17M 8S
68,70,16M 36S
69,70,16M 36S
69,72,15M 58S
71,72,15M 44S
71,73,15M 3S
72,73,14M 40S
73,73,14M 40S
73,75,12M 28S
75,75,12M 28S
75,77,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,79,11M 46S
78,79,11M 35S
80,79,10M 26S
80,80,10M 14S
82,80,9M 48S
82,81,9M 40S
85,81,9M 25S
85,84,8M 56S
87,84,8M 44S
87,86,7M 42S
89,86,7M 24S
89,88,5M 49S
89,90,5M 17S
91,90,5M 2S
94,90,4M 34S
96,90,4M 14S
96,92,3M 57S
96,94,2M 56S
98,94,2M 39S
98,95,2M 31S
98,96,2M 31S
98,98,1M 42S
98,101,1M 6S
100,101,47S
100,103,30S
100,104,17S
100,105,17S
103,105,12S
103,106,8S
103,107,8S
104,107,3S
104,108,1S
End of 4th quarter,NA,0S
