San Antonio,Memphis,time_rem
NA,NA,48M 0S
2,0,47M 44S
2,2,46M 51S
2,4,46M 26S
4,4,46M 11S
4,6,45M 56S
4,9,45M 21S
4,10,44M 56S
4,11,44M 56S
4,13,44M 40S
4,16,44M 19S
4,18,43M 38S
6,18,42M 55S
6,20,42M 33S
6,23,41M 58S
6,25,41M 26S
6,27,41M 0S
8,27,40M 15S
8,29,39M 56S
11,29,39M 43S
11,31,39M 26S
11,32,39M 5S
13,32,38M 38S
13,34,38M 23S
15,34,37M 31S
15,36,37M 2S
17,36,36M 56S
17,37,36M 43S
17,38,36M 15S
19,38,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,38,35M 47S
22,41,35M 26S
24,41,34M 18S
26,41,33M 58S
27,41,33M 32S
28,41,33M 32S
30,41,33M 3S
33,41,32M 27S
34,41,32M 2S
35,41,32M 2S
37,41,31M 30S
39,41,31M 5S
39,43,31M 0S
39,45,30M 18S
40,45,30M 2S
40,47,29M 41S
41,47,28M 34S
42,47,28M 34S
43,47,28M 34S
43,48,28M 1S
43,49,28M 1S
43,51,27M 24S
45,51,26M 48S
46,51,26M 23S
47,51,26M 23S
47,53,25M 57S
49,53,25M 2S
49,56,24M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,56,23M 52S
53,56,23M 20S
53,58,22M 15S
53,59,22M 15S
55,59,21M 23S
55,61,20M 55S
57,61,20M 7S
57,62,19M 49S
58,62,19M 2S
59,62,19M 2S
59,63,18M 33S
59,64,18M 33S
59,66,18M 5S
59,68,17M 35S
60,68,17M 10S
61,68,17M 10S
63,68,16M 43S
63,70,16M 30S
65,70,16M 15S
65,72,14M 54S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,74,11M 40S
67,74,10M 48S
67,77,10M 33S
69,77,10M 18S
70,77,10M 18S
73,77,9M 43S
73,79,9M 33S
75,79,8M 44S
78,79,8M 5S
80,79,7M 31S
80,81,7M 14S
83,81,6M 56S
83,83,6M 37S
83,85,5M 58S
83,87,5M 18S
84,87,5M 3S
85,87,5M 3S
85,89,4M 19S
86,89,4M 2S
87,89,4M 2S
87,92,3M 50S
87,94,3M 15S
90,94,2M 58S
90,96,2M 40S
90,98,1M 25S
92,98,1M 18S
93,98,46S
93,99,13S
96,99,9S
96,100,8S
End of 4th quarter,NA,0S
