Chicago,New York,time_rem
26-36,35-28,48M 0S
0,2,47M 46S
2,2,47M 22S
2,5,46M 41S
4,5,46M 22S
4,7,45M 40S
4,10,45M 13S
6,10,44M 32S
6,12,44M 18S
6,13,43M 35S
6,14,43M 35S
6,16,43M 4S
8,16,42M 38S
8,17,42M 24S
8,18,42M 24S
8,19,42M 24S
8,21,41M 14S
8,23,40M 29S
10,23,39M 52S
10,26,39M 33S
11,26,38M 41S
12,26,38M 41S
12,28,38M 29S
12,30,38M 11S
14,30,37M 55S
16,30,37M 25S
16,32,37M 10S
18,32,36M 56S
19,32,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,32,34M 51S
24,32,34M 13S
24,34,33M 57S
26,34,32M 30S
29,34,32M 8S
30,34,31M 37S
32,34,31M 12S
32,36,30M 51S
32,38,30M 3S
32,40,29M 43S
32,43,29M 15S
34,43,29M 3S
34,45,27M 56S
37,45,27M 19S
40,45,26M 23S
40,48,26M 6S
42,48,25M 43S
45,48,25M 2S
45,51,24M 43S
48,51,24M 34S
48,52,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,54,23M 26S
48,56,23M 1S
50,56,22M 27S
50,58,21M 51S
53,58,21M 30S
55,58,20M 46S
57,58,20M 21S
59,58,19M 20S
59,61,19M 0S
59,63,18M 28S
59,66,18M 2S
59,67,18M 2S
61,67,17M 41S
63,67,16M 19S
63,69,16M 3S
63,70,15M 43S
65,70,15M 1S
65,71,14M 54S
65,72,14M 54S
67,72,14M 44S
69,72,14M 9S
69,74,13M 42S
72,74,13M 26S
74,74,12M 58S
75,74,12M 58S
75,76,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,78,11M 45S
75,80,11M 11S
75,81,10M 43S
75,82,10M 43S
75,85,10M 19S
77,85,10M 5S
77,87,9M 26S
77,88,8M 17S
77,89,8M 17S
77,91,7M 39S
79,91,6M 53S
81,91,6M 21S
81,93,5M 58S
84,93,5M 47S
84,95,5M 24S
84,96,4M 52S
84,97,4M 52S
84,99,4M 19S
87,99,4M 8S
87,102,3M 23S
89,102,3M 4S
89,105,2M 39S
91,105,2M 24S
91,107,2M 1S
93,107,1M 49S
93,109,1M 33S
93,110,1M 33S
93,113,1M 3S
94,113,1M 2S
End of 4th quarter,NA,0S
