Milwaukee,Atlanta,time_rem
2-2,2-2,48M 0S
0,0,47M 40S
0,3,47M 25S
2,3,47M 6S
2,5,46M 49S
2,6,46M 18S
2,8,45M 37S
2,10,45M 12S
5,10,43M 55S
5,11,43M 38S
5,12,43M 38S
5,15,42M 40S
7,15,41M 54S
9,15,41M 13S
11,15,40M 32S
11,17,39M 43S
14,17,39M 14S
14,19,38M 56S
15,19,38M 44S
16,19,38M 44S
19,19,37M 16S
19,22,36M 59S
22,22,36M 38S
22,25,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,27,34M 42S
24,27,34M 30S
24,29,34M 17S
25,29,33M 35S
25,31,33M 23S
25,33,33M 1S
25,34,33M 1S
28,34,32M 13S
28,36,31M 55S
28,39,30M 20S
30,39,30M 1S
30,41,28M 48S
32,41,28M 25S
32,42,28M 16S
32,43,28M 16S
34,43,28M 5S
34,44,27M 51S
34,45,27M 51S
35,45,27M 43S
36,45,27M 43S
36,47,27M 1S
38,47,26M 53S
38,49,25M 21S
38,51,24M 58S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
38,54,23M 47S
41,54,23M 36S
43,54,23M 7S
43,55,22M 55S
45,55,22M 30S
48,55,22M 4S
48,57,21M 44S
50,57,21M 24S
50,60,20M 37S
52,60,19M 38S
52,62,19M 16S
54,62,19M 1S
54,64,18M 43S
54,66,18M 19S
54,69,17M 43S
54,71,16M 49S
54,74,16M 16S
54,77,15M 18S
56,77,15M 3S
58,77,14M 41S
58,79,14M 7S
59,79,14M 0S
60,79,14M 0S
60,82,13M 39S
62,82,13M 26S
62,83,13M 5S
62,84,13M 5S
62,87,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,87,11M 45S
66,87,11M 3S
68,87,10M 33S
71,87,9M 4S
71,89,8M 54S
73,89,8M 45S
73,91,8M 23S
75,91,8M 11S
75,93,7M 45S
75,95,7M 1S
77,95,5M 53S
78,95,5M 53S
78,97,5M 37S
78,99,5M 16S
79,99,5M 0S
80,99,5M 0S
80,101,4M 33S
80,104,4M 20S
82,104,4M 0S
83,104,3M 14S
84,104,3M 14S
84,106,2M 51S
84,108,2M 13S
85,108,1M 35S
85,110,1M 0S
86,110,1M 0S
88,110,21S
End of 4th quarter,NA,0S
