Dallas,Cleveland,time_rem
40-28,21-47,48M 0S
3,0,47M 45S
4,0,47M 7S
5,0,47M 7S
5,2,46M 55S
5,3,46M 55S
5,5,46M 20S
7,5,46M 14S
10,5,45M 52S
13,5,45M 28S
13,7,45M 11S
15,7,44M 55S
15,9,44M 31S
17,9,43M 46S
17,11,43M 29S
19,11,43M 19S
20,11,42M 48S
22,11,42M 17S
22,14,41M 23S
22,17,40M 29S
22,19,39M 59S
24,19,39M 40S
26,19,39M 11S
26,22,38M 52S
28,22,38M 38S
28,25,38M 10S
30,25,38M 1S
32,25,37M 37S
32,27,37M 5S
34,27,36M 54S
35,27,36M 54S
35,28,36M 41S
37,28,36M 30S
37,30,36M 20S
39,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,32,34M 30S
39,34,33M 58S
42,34,33M 42S
44,34,32M 47S
44,36,32M 26S
44,37,31M 56S
44,38,31M 56S
46,38,31M 42S
48,38,31M 9S
50,38,30M 53S
52,38,30M 22S
52,40,30M 7S
52,43,29M 10S
53,43,28M 45S
55,43,28M 12S
55,45,27M 4S
57,45,26M 43S
57,48,25M 32S
58,48,25M 24S
59,48,25M 24S
59,51,25M 5S
62,51,24M 52S
64,51,24M 29S
64,52,24M 1S
64,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,54,23M 32S
64,55,23M 32S
66,55,23M 13S
66,57,22M 46S
68,57,22M 33S
68,58,22M 5S
68,59,22M 5S
70,59,20M 49S
73,59,19M 56S
75,59,19M 21S
75,61,18M 35S
77,61,18M 15S
77,64,18M 2S
77,66,17M 4S
80,66,16M 49S
82,66,16M 24S
82,67,15M 12S
85,67,14M 52S
85,69,14M 24S
87,69,14M 11S
87,70,13M 51S
90,70,13M 31S
92,70,13M 1S
92,72,12M 52S
95,72,12M 32S
98,72,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,72,11M 39S
100,73,11M 18S
103,73,11M 6S
103,75,10M 53S
103,76,10M 15S
103,79,9M 46S
103,80,9M 5S
Jump ball: D. Dotson vs. T. Burke (C. Sexton gains possession),NA,8M 50S
103,83,8M 43S
105,83,8M 16S
105,85,7M 30S
106,85,6M 53S
107,85,6M 53S
110,85,6M 23S
110,87,6M 4S
113,87,5M 53S
113,88,5M 33S
113,89,5M 33S
115,89,4M 44S
117,89,2M 24S
117,90,2M 12S
119,90,1M 38S
119,92,1M 25S
122,92,1M 19S
122,93,1M 11S
122,94,1M 11S
124,94,57S
124,97,49S
End of 4th quarter,NA,0S
