San Antonio,Boston,time_rem
31-31,34-30,48M 0S
2,0,47M 33S
2,2,47M 12S
4,2,46M 55S
4,5,45M 48S
7,5,45M 24S
9,5,44M 59S
11,5,44M 25S
14,5,43M 47S
14,7,43M 27S
16,7,42M 47S
16,9,42M 28S
16,10,42M 28S
18,10,42M 15S
20,10,41M 49S
21,10,41M 30S
23,10,40M 59S
23,12,40M 48S
26,12,40M 24S
28,12,39M 21S
29,12,38M 36S
30,12,38M 15S
32,12,37M 42S
34,12,37M 21S
37,12,36M 55S
37,14,36M 44S
37,16,36M 24S
38,16,36M 6S
39,16,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,16,35M 33S
41,19,35M 21S
43,19,34M 56S
44,19,34M 56S
44,22,34M 1S
44,23,33M 36S
46,23,33M 21S
46,26,33M 7S
48,26,32M 46S
50,26,32M 14S
50,27,32M 6S
50,28,32M 6S
53,28,31M 48S
53,30,30M 29S
55,30,30M 7S
57,30,29M 44S
58,30,29M 24S
59,30,29M 24S
59,32,29M 14S
59,33,29M 14S
61,33,28M 59S
63,33,28M 28S
65,33,27M 58S
65,35,27M 42S
67,35,27M 27S
67,37,27M 15S
69,37,27M 0S
69,40,26M 48S
70,40,26M 32S
71,40,26M 32S
71,41,26M 16S
71,42,26M 16S
71,43,25M 56S
71,44,25M 56S
73,44,25M 41S
73,46,25M 33S
74,46,24M 57S
75,46,24M 57S
75,47,24M 42S
75,48,24M 42S
77,48,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
77,50,23M 37S
80,50,23M 21S
80,53,22M 59S
81,53,22M 39S
82,53,22M 39S
84,53,22M 7S
84,55,21M 58S
85,55,21M 42S
85,57,21M 27S
85,58,20M 34S
85,59,20M 34S
85,60,20M 28S
88,60,20M 7S
88,63,19M 56S
90,63,19M 34S
90,65,19M 8S
93,65,18M 41S
93,67,18M 34S
93,70,18M 14S
93,73,17M 43S
93,75,17M 11S
94,75,17M 1S
95,75,17M 1S
98,75,15M 48S
98,77,15M 37S
98,79,15M 12S
98,80,15M 12S
98,82,14M 41S
101,82,14M 0S
101,85,13M 42S
101,87,12M 50S
101,90,12M 20S
103,90,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,90,11M 28S
105,93,11M 15S
106,93,10M 55S
107,93,10M 55S
107,95,10M 44S
109,95,10M 22S
109,98,10M 4S
109,99,10M 4S
109,100,9M 26S
109,101,9M 26S
111,101,9M 8S
111,102,8M 54S
111,103,8M 54S
111,106,8M 16S
112,106,7M 59S
112,108,7M 43S
112,110,6M 51S
114,110,6M 30S
114,113,6M 12S
115,113,5M 55S
116,113,5M 55S
116,116,5M 36S
117,116,5M 14S
118,116,5M 14S
118,118,5M 2S
119,118,4M 44S
120,118,4M 44S
120,120,3M 40S
121,120,3M 18S
122,120,3M 18S
122,122,2M 30S
124,122,1M 39S
Jump ball: A. Nesmith vs. K. Johnson (M. Smart gains possession),NA,1M 9S
124,124,1M 5S
126,124,51S
126,127,38S
126,128,18S
127,128,10S
128,128,10S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: J. Poeltl vs. T. Thompson (D. Murray gains possession),NA,5M 0S
128,130,4M 8S
130,130,3M 11S
132,130,2M 4S
132,131,1M 49S
132,132,1M 49S
132,134,1M 21S
134,134,1M 1S
135,134,1M 1S
135,136,51S
137,136,31S
Jump ball: R. Williams vs. J. Poeltl (M. Smart gains possession),NA,27S
137,139,16S
137,140,11S
137,141,11S
140,141,5S
140,142,4S
140,143,4S
End of 1st overtime,NA,0S
