Golden State,Denver,time_rem
6-6,6-6,48M 0S
3,0,47M 45S
5,0,47M 29S
5,2,47M 12S
5,4,46M 4S
6,4,45M 36S
7,4,45M 36S
7,7,45M 23S
9,7,45M 3S
9,10,44M 44S
11,10,44M 34S
11,12,44M 23S
13,12,44M 11S
13,14,43M 50S
13,16,43M 27S
13,18,42M 56S
13,20,42M 43S
16,20,42M 30S
18,20,41M 46S
18,22,40M 52S
21,22,40M 16S
21,23,39M 54S
21,24,39M 54S
21,26,39M 28S
21,29,38M 57S
22,29,38M 30S
23,29,38M 14S
24,29,38M 14S
24,31,38M 4S
24,34,37M 26S
24,35,36M 47S
24,37,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,39,35M 35S
26,39,35M 18S
26,41,35M 3S
26,43,33M 52S
28,43,33M 38S
28,44,33M 28S
31,44,33M 12S
31,46,32M 56S
34,46,32M 28S
36,46,31M 48S
36,49,31M 21S
38,49,30M 41S
40,49,30M 12S
41,49,30M 12S
43,49,29M 42S
43,51,29M 6S
43,52,29M 6S
44,52,28M 45S
44,55,28M 31S
47,55,28M 19S
48,55,28M 19S
48,57,27M 17S
49,57,27M 5S
50,57,27M 5S
50,58,26M 45S
50,59,26M 45S
52,59,26M 15S
52,62,25M 57S
52,63,25M 22S
52,64,25M 22S
52,65,24M 36S
54,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,67,23M 1S
56,67,22M 46S
59,67,21M 48S
59,69,21M 34S
59,71,21M 6S
59,72,20M 34S
59,73,20M 34S
60,73,20M 25S
61,73,20M 25S
63,73,20M 10S
65,73,19M 18S
66,73,19M 18S
66,74,19M 12S
66,76,18M 8S
69,76,17M 59S
69,79,17M 31S
71,79,16M 54S
74,79,15M 45S
74,81,15M 28S
74,83,14M 52S
76,83,14M 31S
76,85,14M 8S
76,87,13M 14S
76,90,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,90,11M 13S
79,90,10M 36S
82,90,9M 54S
82,93,9M 11S
82,94,9M 11S
84,94,7M 46S
84,96,6M 56S
87,96,6M 41S
87,98,6M 23S
89,98,6M 7S
89,99,5M 53S
89,100,5M 53S
91,100,5M 38S
91,103,5M 25S
91,105,5M 11S
92,105,4M 34S
92,106,4M 7S
92,107,4M 7S
94,107,3M 58S
96,107,3M 29S
96,108,2M 51S
96,109,2M 51S
98,109,2M 35S
100,109,2M 13S
100,110,1M 53S
100,112,1M 1S
101,112,50S
102,112,50S
102,114,30S
104,114,23S
End of 4th quarter,NA,0S
