Philadelphia,Cleveland,time_rem
33-15,17-31,48M 0S
0,2,47M 42S
3,2,47M 29S
3,5,47M 1S
3,8,46M 39S
3,10,45M 42S
5,10,45M 17S
5,13,44M 52S
8,13,44M 34S
8,15,43M 48S
10,15,43M 40S
11,15,43M 40S
13,15,43M 10S
14,15,42M 31S
15,15,42M 31S
18,15,42M 19S
18,17,41M 58S
18,18,41M 58S
20,18,41M 41S
20,19,41M 27S
20,20,41M 27S
21,20,41M 6S
22,20,41M 6S
23,20,39M 27S
23,21,39M 12S
23,22,39M 12S
26,22,38M 58S
27,22,38M 41S
27,24,37M 58S
27,26,37M 31S
29,26,37M 15S
29,29,36M 54S
31,29,36M 10S
31,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,31,35M 39S
36,31,34M 59S
36,33,34M 6S
39,33,33M 47S
41,33,32M 42S
41,34,32M 30S
41,35,32M 30S
43,35,32M 16S
43,37,32M 0S
44,37,31M 45S
45,37,31M 45S
45,40,31M 0S
47,40,30M 9S
48,40,30M 9S
48,43,29M 59S
48,45,29M 37S
48,46,29M 37S
50,46,29M 25S
52,46,28M 56S
52,48,28M 43S
52,50,27M 6S
52,53,26M 38S
55,53,26M 24S
55,56,25M 49S
58,56,25M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,57,22M 50S
58,58,22M 50S
60,58,22M 35S
62,58,22M 20S
65,58,21M 32S
68,58,21M 15S
68,60,20M 56S
68,61,20M 10S
68,63,19M 39S
68,65,19M 0S
71,65,18M 44S
73,65,18M 13S
73,67,17M 29S
76,67,17M 14S
77,67,16M 45S
77,69,16M 2S
79,69,15M 10S
80,69,14M 45S
81,69,14M 45S
Jump ball: S. Milton vs. M. Dellavedova (T. Maxey gains possession),NA,13M 34S
82,69,13M 29S
83,69,13M 29S
83,71,13M 16S
85,71,12M 56S
85,73,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,73,11M 32S
88,76,11M 2S
91,76,10M 5S
93,76,9M 45S
95,76,8M 55S
97,76,8M 19S
97,78,7M 52S
100,78,7M 33S
101,78,6M 52S
102,78,6M 52S
102,80,6M 30S
102,81,6M 9S
102,83,5M 56S
104,83,5M 38S
106,83,5M 0S
108,83,4M 28S
108,85,4M 20S
108,86,4M 20S
109,86,4M 7S
110,86,4M 7S
112,86,3M 49S
112,87,3M 25S
112,88,3M 25S
112,90,55S
112,91,55S
114,91,42S
114,94,0S
End of 4th quarter,NA,0S
