Phoenix,LA Lakers,time_rem
1-2,2-1,48M 0S
0,0,47M 45S
1,0,47M 45S
2,0,47M 45S
3,0,47M 45S
3,3,47M 21S
3,5,46M 52S
5,5,46M 4S
5,7,45M 16S
7,7,45M 3S
7,10,44M 49S
7,12,44M 17S
9,12,43M 43S
9,14,43M 23S
11,14,42M 59S
13,14,42M 38S
13,15,42M 23S
16,15,42M 7S
16,17,41M 51S
16,19,40M 33S
19,19,40M 7S
19,21,39M 37S
22,21,38M 48S
22,23,38M 32S
22,25,38M 6S
24,25,37M 44S
26,25,37M 20S
28,25,36M 37S
28,27,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,27,35M 7S
31,29,34M 50S
31,30,34M 19S
31,31,34M 19S
31,33,33M 57S
33,33,33M 0S
33,36,30M 33S
33,37,29M 57S
33,38,29M 57S
35,38,29M 45S
37,38,29M 18S
38,38,28M 57S
39,38,28M 57S
39,39,25M 51S
39,41,25M 33S
39,43,24M 24S
40,43,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,45,23M 42S
40,47,23M 6S
40,49,22M 27S
42,49,21M 34S
42,51,21M 11S
42,53,20M 9S
44,53,19M 47S
44,54,19M 25S
46,54,19M 5S
46,55,18M 57S
46,57,18M 37S
46,59,18M 14S
47,59,17M 51S
48,59,17M 51S
49,59,17M 51S
49,61,17M 42S
49,63,17M 3S
49,64,17M 3S
51,64,16M 50S
51,66,16M 43S
51,67,16M 43S
54,67,16M 25S
54,68,16M 4S
54,69,16M 4S
56,69,15M 54S
59,69,15M 16S
59,71,13M 54S
59,72,13M 30S
59,74,13M 19S
59,76,12M 59S
61,76,12M 49S
63,76,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,76,11M 47S
68,76,11M 21S
68,77,11M 3S
68,78,11M 3S
68,80,10M 26S
68,83,10M 18S
68,86,9M 35S
70,86,8M 32S
70,89,8M 18S
70,91,7M 32S
71,91,7M 24S
72,91,7M 24S
74,91,6M 43S
74,92,6M 18S
74,93,6M 18S
77,93,5M 43S
77,94,5M 25S
77,95,5M 25S
80,95,5M 4S
83,95,4M 17S
84,95,3M 43S
86,95,3M 24S
86,97,3M 5S
89,97,2M 47S
89,99,2M 24S
91,99,1M 56S
91,100,1M 34S
91,101,1M 34S
92,101,1M 24S
93,101,1M 24S
93,102,1M 3S
93,103,1M 3S
93,104,35S
93,105,35S
93,106,35S
93,109,19S
95,109,6S
End of 4th quarter,NA,0S
