Golden State,Orlando,time_rem
16-14,12-18,48M 0S
0,0,47M 45S
0,3,47M 36S
3,3,46M 59S
3,5,46M 39S
3,8,46M 10S
3,10,45M 50S
5,10,45M 39S
5,13,44M 45S
8,13,44M 32S
8,16,44M 1S
11,16,43M 44S
11,18,43M 28S
11,19,43M 11S
11,20,43M 11S
13,20,42M 55S
15,20,42M 0S
15,22,41M 49S
15,23,41M 49S
15,25,41M 32S
15,27,41M 12S
15,30,40M 44S
18,30,40M 32S
21,30,38M 55S
23,30,38M 32S
24,30,38M 7S
24,32,37M 56S
25,32,37M 50S
26,32,37M 50S
29,32,37M 23S
31,32,36M 53S
31,34,36M 36S
33,34,36M 29S
34,34,36M 29S
34,37,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,37,35M 43S
37,37,35M 18S
37,38,34M 57S
37,39,34M 57S
39,39,34M 33S
39,41,34M 15S
39,42,34M 15S
39,44,33M 45S
41,44,33M 25S
41,46,33M 3S
43,46,32M 46S
43,48,30M 10S
45,48,29M 38S
45,50,29M 23S
45,52,29M 1S
48,52,28M 51S
48,55,27M 55S
51,55,26M 39S
51,57,26M 14S
51,60,25M 44S
51,62,24M 47S
51,64,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,67,23M 32S
54,67,23M 19S
54,69,23M 4S
54,71,21M 26S
56,71,21M 11S
59,71,20M 41S
62,71,20M 4S
64,71,19M 49S
66,71,19M 27S
66,74,19M 11S
68,74,19M 4S
68,77,18M 44S
70,77,18M 32S
71,77,18M 32S
71,80,18M 16S
73,80,18M 6S
73,82,17M 44S
75,82,17M 35S
77,82,17M 17S
77,84,16M 41S
77,85,16M 41S
80,85,16M 30S
83,85,15M 37S
83,87,14M 49S
83,88,14M 49S
85,88,14M 36S
87,88,13M 56S
89,88,13M 33S
91,88,13M 9S
91,91,12M 45S
91,93,12M 11S
94,93,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,93,11M 33S
99,93,11M 12S
100,93,11M 12S
103,93,9M 23S
104,93,8M 58S
106,93,8M 50S
Jump ball: M. Carter,Williams vs. E. Paschall (N. Vučević gains possession),8M 33S
106,96,8M 23S
106,99,8M 15S
106,100,7M 50S
108,100,7M 11S
108,102,6M 55S
108,104,6M 29S
109,104,5M 52S
109,106,5M 39S
112,106,5M 24S
112,109,4M 4S
112,111,3M 30S
112,113,3M 1S
114,113,2M 39S
114,116,2M 19S
114,119,1M 48S
114,120,1M 3S
114,121,1M 3S
117,121,56S
120,121,23S
120,122,16S
120,123,16S
120,124,2S
End of 4th quarter,NA,0S
